Country,Code,Name,Type,Model,ThermalPower,Gross,Net,Operator,Provider,EAF,UCF,Start,Connection,Operation,Construction_time
ARGENTINA,AR -1   ,ATUCHA-1,PHWR ,PHWR KWU,1179,362,340,NASA,SIEMENS,74.5,75.5,1968-06-01,1974-03-01,1974-06-01 00:00:00,2099
ARGENTINA,AR -2   ,EMBALSE,PHWR ,CANDU 6,2064,656,608,NASA,AECL,78.6,78.9,1974-04-01,1983-04-01,1984-01-01 00:00:00,3287
ARGENTINA,AR -3   ,ATUCHA-2,PHWR ,PHWR KWU,2160,745,693,NASA,SIEMENS,53.1,53.1,1981-07-01,2014-06-01,2016-05-01 00:00:00,12023
ARMENIA,AM -19  ,ARMENIAN-2,PWR  ,VVER V-270,1375,451,415,ANPPCJSC,FAEA,65.6,67.7,1975-07-01,1980-01-01,1980-05-01 00:00:00,1645
BELARUS,BY -1   ,BELARUSIAN-1,PWR  ,VVER V-491,3200,1194,1110,BelNPP,JSC ASE,0.0,0.0,2013-11-01,2020-11-01,,2557
BELGIUM,BE -2   ,DOEL-1,PWR  ,WH 2LP,1311,454,445,EBL+EDF,ACECOWEN,83.4,84.2,1969-07-01,1974-08-01,1975-02-01 00:00:00,1857
BELGIUM,BE -3   ,TIHANGE-1,PWR  ,Framatome 3 lo,2873,1009,962,EBL,ACLF,79.9,81.9,1970-06-01,1975-03-01,1975-10-01 00:00:00,1734
BELGIUM,BE -4   ,DOEL-2,PWR  ,WH 2LP,1311,454,445,EBL+EDF,ACECOWEN,80.9,81.7,1971-09-01,1975-08-01,1975-12-01 00:00:00,1430
BELGIUM,BE -5   ,DOEL-3,PWR  ,WH 3LP,3054,1056,1006,EBL+EDF,FRAMACEC,78.5,79.5,1975-01-01,1982-06-01,1982-10-01 00:00:00,2708
BELGIUM,BE -6   ,TIHANGE-2,PWR  ,WH 3LP,3064,1055,1008,EBL,FRAMACEC,79.7,80.6,1976-04-01,1982-10-01,1983-06-01 00:00:00,2374
BELGIUM,BE -7   ,DOEL-4,PWR  ,WH 3LP,2988,1090,1038,EBL+EDF,ACECOWEN,83.3,84.0,1978-12-01,1985-04-01,1985-07-01 00:00:00,2313
BELGIUM,BE -8   ,TIHANGE-3,PWR  ,WH 3LP,3000,1089,1038,EBL,ACECOWEN,85.9,87.3,1978-11-01,1985-06-01,1985-09-01 00:00:00,2404
BRAZIL,BR -1   ,ANGRA-1,PWR  ,WH 2LP,1882,640,609,ELETROBR,WH,62.9,67.8,1971-05-01,1982-04-01,1985-01-01 00:00:00,3988
BRAZIL,BR -2   ,ANGRA-2,PWR  ,PRE KONVOI,3764,1350,1275,ELETROBR,KWU,87.0,88.2,1976-01-01,2000-07-01,2001-02-01 00:00:00,8948
BULGARIA,BG -5   ,KOZLODUY-5,PWR  ,VVER V-320,3000,1000,1003,KOZNPP,AEE,72.8,74.9,1980-07-01,1987-11-01,1988-12-01 00:00:00,2679
BULGARIA,BG -6   ,KOZLODUY-6,PWR  ,VVER V-320,3120,1040,1003,KOZNPP,AEE,78.7,80.5,1982-04-01,1991-08-01,1993-12-01 00:00:00,3409
CANADA,CA -10  ,BRUCE-3,PHWR ,CANDU 750A,2550,830,770,BRUCEPOW,OH/AECL,74.8,75.3,1972-07-01,1977-12-01,1978-02-01 00:00:00,1979
CANADA,CA -11  ,BRUCE-4,PHWR ,CANDU 750A,2550,830,769,BRUCEPOW,OH/AECL,74.0,74.6,1972-09-01,1978-12-01,1979-01-01 00:00:00,2282
CANADA,CA -13  ,PICKERING-5,PHWR ,CANDU 500B,1744,540,516,OPG,OH/AECL,74.7,75.4,1974-11-01,1982-12-01,1983-05-01 00:00:00,2952
CANADA,CA -14  ,PICKERING-6,PHWR ,CANDU 500B,1744,540,516,OPG,OH/AECL,78.2,78.9,1975-10-01,1983-11-01,1984-02-01 00:00:00,2953
CANADA,CA -15  ,PICKERING-7,PHWR ,CANDU 500B,1744,540,516,OPG,OH/AECL,78.4,79.0,1976-03-01,1984-11-01,1985-01-01 00:00:00,3167
CANADA,CA -16  ,PICKERING-8,PHWR ,CANDU 500B,1744,540,516,OPG,OH/AECL,76.1,76.8,1976-09-01,1986-01-01,1986-02-01 00:00:00,3409
CANADA,CA -17  ,POINT LEPREAU,PHWR ,CANDU 6,2180,705,660,NBEPC,AECL,72.3,73.1,1975-05-01,1982-09-01,1983-02-01 00:00:00,2680
CANADA,CA -18  ,BRUCE-5,PHWR ,CANDU 750B,2832,872,817,BRUCEPOW,OH/AECL,85.3,85.8,1978-06-01,1984-12-01,1985-03-01 00:00:00,2375
CANADA,CA -19  ,BRUCE-6,PHWR ,CANDU 750B,2690,891,817,BRUCEPOW,OH/AECL,81.2,81.8,1978-01-01,1984-06-01,1984-09-01 00:00:00,2343
CANADA,CA -20  ,BRUCE-7,PHWR ,CANDU 750B,2832,872,817,BRUCEPOW,OH/AECL,85.8,86.5,1979-05-01,1986-02-01,1986-04-01 00:00:00,2468
CANADA,CA -21  ,BRUCE-8,PHWR ,CANDU 750B,2690,872,817,BRUCEPOW,OH/AECL,83.6,84.5,1979-08-01,1987-03-01,1987-05-01 00:00:00,2769
CANADA,CA -22  ,DARLINGTON-1,PHWR ,CANDU 850,2776,934,878,OPG,OH/AECL,85.5,86.5,1982-04-01,1990-12-01,1992-11-01 00:00:00,3166
CANADA,CA -23  ,DARLINGTON-2,PHWR ,CANDU 850,2776,934,878,OPG,OH/AECL,70.5,71.4,1981-09-01,1990-01-01,1990-10-01 00:00:00,3044
CANADA,CA -24  ,DARLINGTON-3,PHWR ,CANDU 850,2776,934,878,OPG,OH/AECL,85.3,86.1,1984-09-01,1992-12-01,1993-02-01 00:00:00,3013
CANADA,CA -25  ,DARLINGTON-4,PHWR ,CANDU 850,2776,934,878,OPG,OH/AECL,85.9,86.6,1985-07-01,1993-04-01,1993-06-01 00:00:00,2831
CANADA,CA -4   ,PICKERING-1,PHWR ,CANDU 500A,1744,542,515,OPG,OH/AECL,67.4,67.6,1966-06-01,1971-04-01,1971-07-01 00:00:00,1765
CANADA,CA -7   ,PICKERING-4,PHWR ,CANDU 500A,1744,542,515,OPG,OH/AECL,67.5,67.9,1968-05-01,1973-05-01,1973-06-01 00:00:00,1826
CANADA,CA -8   ,BRUCE-1,PHWR ,CANDU 791,2620,830,774,BRUCEPOW,OH/AECL,72.1,72.6,1971-06-01,1977-01-01,1977-09-01 00:00:00,2041
CANADA,CA -9   ,BRUCE-2,PHWR ,CANDU 791,2620,830,777,BRUCEPOW,OH/AECL,68.8,69.3,1970-12-01,1976-09-01,1977-09-01 00:00:00,2101
CHINA,CN -1   ,QINSHAN-1,PWR  ,CNP-300,966,330,308,CNNO,CNNC,82.0,83.0,1985-03-01,1991-12-01,1994-04-01 00:00:00,2466
CHINA,CN -10  ,TIANWAN-1,PWR  ,VVER V-428,3000,1060,990,JNPC,IZ,86.6,86.8,1999-10-01,2006-05-01,2007-05-01 00:00:00,2404
CHINA,CN -11  ,TIANWAN-2,PWR  ,VVER V-428,3000,1060,990,JNPC,IZ,89.2,89.3,2000-09-01,2007-05-01,2007-08-01 00:00:00,2433
CHINA,CN -12  ,LING AO-3,PWR  ,CPR-1000,2905,1086,1007,DNMC,DEC,88.1,88.3,2005-12-01,2010-07-01,2010-09-01 00:00:00,1673
CHINA,CN -13  ,LING AO-4,PWR  ,CPR-1000,2905,1086,1007,DNMC,DEC,90.1,90.4,2006-06-01,2011-05-01,2011-08-01 00:00:00,1795
CHINA,CN -14  ,QINSHAN 2-3,PWR  ,CNP-600,1930,660,619,NPQJVC,CNNC,90.9,91.0,2006-04-01,2010-08-01,2010-10-01 00:00:00,1583
CHINA,CN -15  ,QINSHAN 2-4,PWR  ,CNP-600,1930,660,619,NPQJVC,CNNC,91.4,91.5,2007-01-01,2011-11-01,2011-12-01 00:00:00,1765
CHINA,CN -16  ,HONGYANHE-1,PWR  ,CPR-1000,2905,1119,1061,LHNPC,DEC,87.7,88.6,2007-08-01,2013-02-01,2013-06-01 00:00:00,2011
CHINA,CN -17  ,HONGYANHE-2,PWR  ,CPR-1000,2905,1119,1061,LHNPC,DEC,85.6,86.6,2008-03-01,2013-11-01,2014-05-01 00:00:00,2071
CHINA,CN -18  ,NINGDE-1,PWR  ,CPR-1000,2905,1089,1018,NDNP,DEC,87.3,87.4,2008-02-01,2012-12-01,2013-04-01 00:00:00,1765
CHINA,CN -19  ,NINGDE-2,PWR  ,CPR-1000,2905,1089,1018,NDNP,SHE,91.8,91.8,2008-11-01,2014-01-01,2014-05-01 00:00:00,1887
CHINA,CN -2   ,DAYA BAY-1,PWR  ,M310,2905,984,944,DNMC,FRAM,86.5,88.9,1987-08-01,1993-08-01,1994-02-01 00:00:00,2192
CHINA,CN -20  ,FUQING-1,PWR  ,CNP-1000,2905,1089,1000,FQNP,NPIC,89.7,89.9,2008-11-01,2014-08-01,2014-11-01 00:00:00,2099
CHINA,CN -21  ,FUQING-2,PWR  ,CNP-1000,2905,1089,1000,FQNP,NPIC,89.0,89.2,2009-06-01,2015-08-01,2015-10-01 00:00:00,2252
CHINA,CN -22  ,YANGJIANG-1,PWR  ,CPR-1000,2905,1086,1000,YJNPC,CFHI,90.6,90.7,2008-12-01,2013-12-01,2014-03-01 00:00:00,1826
CHINA,CN -23  ,YANGJIANG-2,PWR  ,CPR-1000,2905,1086,1000,YJNPC,CFHI,89.9,90.0,2009-06-01,2015-03-01,2015-06-01 00:00:00,2099
CHINA,CN -24  ,FANGJIASHAN-1,PWR  ,CPR-1000,2905,1089,1012,QNPC,NPIC,90.6,91.1,2008-12-01,2014-11-01,2014-12-01 00:00:00,2161
CHINA,CN -25  ,FANGJIASHAN-2,PWR  ,CPR-1000,2905,1089,1012,QNPC,NPIC,92.3,92.6,2009-07-01,2015-01-01,2015-02-01 00:00:00,2010
CHINA,CN -26  ,HONGYANHE-3,PWR  ,CPR-1000,2905,1119,1061,LHNPC,DEC,89.9,91.2,2009-03-01,2015-03-01,2015-08-01 00:00:00,2191
CHINA,CN -27  ,HONGYANHE-4,PWR  ,CPR-1000,2905,1119,1061,LHNPC,DEC,89.2,90.4,2009-08-01,2016-04-01,2016-06-01 00:00:00,2435
CHINA,CN -28  ,SANMEN-1,PWR  ,AP-1000,3400,1251,1157,SMNPC,WH/MHI,90.4,91.3,2009-04-01,2018-06-01,2018-09-01 00:00:00,3348
CHINA,CN -29  ,SANMEN-2,PWR  ,AP-1000,3400,1251,1157,SMNPC,WH/MHI,55.6,56.9,2009-12-01,2018-08-01,2018-11-01 00:00:00,3165
CHINA,CN -3   ,DAYA BAY-2,PWR  ,M310,2905,984,944,DNMC,FRAM,86.1,87.2,1988-04-01,1994-02-01,1994-05-01 00:00:00,2132
CHINA,CN -30  ,HAIYANG-1,PWR  ,AP-1000,3415,1250,1170,SDNPC,WH,91.3,92.0,2009-09-01,2018-08-01,2018-10-01 00:00:00,3256
CHINA,CN -31  ,HAIYANG-2,PWR  ,AP-1000,3415,1250,1170,SDNPC,WH,93.4,94.2,2010-06-01,2018-10-01,2019-01-01 00:00:00,3044
CHINA,CN -32  ,TAISHAN-1,PWR  ,EPR-1750,4590,1750,1660,TNPJVC,ORANO,80.8,81.3,2009-11-01,2018-06-01,2018-12-01 00:00:00,3134
CHINA,CN -33  ,TAISHAN-2,PWR  ,EPR-1750,4590,1750,1660,TNPJVC,ORANO,0.0,0.0,2010-04-01,2019-06-01,,3348
CHINA,CN -34  ,NINGDE-3,PWR  ,CPR-1000,2905,1089,1018,NDNP,CFHI,91.5,91.5,2010-01-01,2015-03-01,2015-06-01 00:00:00,1885
CHINA,CN -35  ,NINGDE-4,PWR  ,CPR-1000,2905,1089,1018,NDNP,CFHI,91.9,91.9,2010-09-01,2016-03-01,2016-07-01 00:00:00,2008
CHINA,CN -36  ,CHANGJIANG-1,PWR  ,CNP-600,1930,650,601,HNPC,DEC,88.1,88.1,2010-04-01,2015-11-01,2015-12-01 00:00:00,2040
CHINA,CN -37  ,CHANGJIANG-2,PWR  ,CNP-600,1930,650,601,HNPC,DEC,88.5,88.5,2010-11-01,2016-06-01,2016-08-01 00:00:00,2039
CHINA,CN -38  ,FANGCHENGGANG-1,PWR  ,CPR-1000,2905,1086,1000,GFNPC,DEC,91.5,91.6,2010-07-01,2015-10-01,2016-01-01 00:00:00,1918
CHINA,CN -39  ,FANGCHENGGANG-2,PWR  ,CPR-1000,2905,1086,1000,GFNPC,DEC,91.6,91.6,2010-12-01,2016-07-01,2016-10-01 00:00:00,2039
CHINA,CN -4   ,QINSHAN 2-1,PWR  ,CNP-600,1930,650,610,NPQJVC,CNNC,84.0,84.0,1996-06-01,2002-02-01,2002-04-01 00:00:00,2071
CHINA,CN -40  ,YANGJIANG-3,PWR  ,CPR-1000,2905,1086,1000,YJNPC,CFHI,91.0,91.3,2010-11-01,2015-10-01,2016-01-01 00:00:00,1795
CHINA,CN -41  ,YANGJIANG-4,PWR  ,CPR-1000,2905,1086,1000,YJNPC,CFHI,90.7,90.9,2012-11-01,2017-01-01,2017-03-01 00:00:00,1522
CHINA,CN -42  ,FUQING-3,PWR  ,CNP-1000,2905,1089,1000,FQNP,NPIC,89.1,89.4,2010-12-01,2016-09-01,2016-10-01 00:00:00,2101
CHINA,CN -43  ,FUQING-4,PWR  ,CNP-1000,2905,1089,1000,FQNP,NPIC,88.0,88.3,2012-11-01,2017-07-01,2017-09-01 00:00:00,1703
CHINA,CN -45  ,TIANWAN-3,PWR  ,VVER V-428M,3000,1126,1045,JNPC,IZ,87.5,87.9,2012-12-01,2017-12-01,2018-02-01 00:00:00,1826
CHINA,CN -46  ,TIANWAN-4,PWR  ,VVER V-428M,3000,1126,1045,JNPC,IZ,89.9,90.0,2013-09-01,2018-10-01,2018-12-01 00:00:00,1856
CHINA,CN -47  ,YANGJIANG-5,PWR  ,ACPR-1000,2905,1086,1000,YJNPC,CFHI,90.6,90.9,2013-09-01,2018-05-01,2018-07-01 00:00:00,1703
CHINA,CN -48  ,YANGJIANG-6,PWR  ,ACPR-1000,2905,1086,1000,YJNPC,CFHI,87.6,87.6,2013-12-01,2019-06-01,2019-07-01 00:00:00,2008
CHINA,CN -5   ,QINSHAN 2-2,PWR  ,CNP-600,1930,650,610,NPQJVC,CNNC,88.3,88.4,1997-04-01,2004-03-01,2004-05-01 00:00:00,2526
CHINA,CN -51  ,FUQING-5,PWR  ,HPR1000,3060,1150,1000,FQNP,NPIC,0.0,0.0,2015-05-01,2020-11-01,2021-01-01 00:00:00,2011
CHINA,CN -53  ,TIANWAN-5,PWR  ,CNP-1000,2905,1118,1000,JNPC,SHE,93.3,93.3,2015-12-01,2020-08-01,2020-09-01 00:00:00,1705
CHINA,CN -6   ,LING AO-1,PWR  ,M310,2905,990,950,DNMC,FRAM,89.9,90.2,1997-05-01,2002-02-01,2002-05-01 00:00:00,1737
CHINA,CN -7   ,LING AO-2,PWR  ,M310,2905,990,950,DNMC,FRAM,90.1,90.3,1997-11-01,2002-09-01,2003-01-01 00:00:00,1765
CHINA,CN -8   ,QINSHAN 3-1,PHWR ,CANDU 6,2064,728,677,TQNPC,AECL,89.7,90.2,1998-06-01,2002-11-01,2002-12-01 00:00:00,1614
CHINA,CN -9   ,QINSHAN 3-2,PHWR ,CANDU 6,2064,728,677,TQNPC,AECL,91.0,91.4,1998-09-01,2003-06-01,2003-07-01 00:00:00,1734
CHINA,CN -901 ,CEFR,FBR  ,BN-20,65,25,20,CIAE,IZ,0.0,0.0,2000-05-01,2011-07-01,,4078
CZECH REP.,CZ -23  ,TEMELIN-1,PWR  ,VVER V-320,3120,1082,1027,CEZ,ŠKODA ,75.3,75.6,1987-02-01,2000-12-01,2002-06-01 00:00:00,5052
CZECH REP.,CZ -24  ,TEMELIN-2,PWR  ,VVER V-320,3120,1082,1029,CEZ,ŠKODA ,77.5,77.7,1987-02-01,2002-12-01,2003-04-01 00:00:00,5782
CZECH REP.,CZ -4   ,DUKOVANY-1,PWR  ,VVER V-213,1444,500,468,CEZ,ŠKODA ,83.0,83.9,1979-01-01,1985-02-01,1985-05-01 00:00:00,2223
CZECH REP.,CZ -5   ,DUKOVANY-2,PWR  ,VVER V-213,1444,500,471,CEZ,ŠKODA ,81.6,82.5,1979-01-01,1986-01-01,1986-03-01 00:00:00,2557
CZECH REP.,CZ -8   ,DUKOVANY-3,PWR  ,VVER V-213,1444,500,468,CEZ,ŠKODA ,81.2,82.7,1979-03-01,1986-11-01,1986-12-01 00:00:00,2802
CZECH REP.,CZ -9   ,DUKOVANY-4,PWR  ,VVER V-213,1444,500,471,CEZ,ŠKODA ,83.5,84.4,1979-03-01,1987-06-01,1987-07-01 00:00:00,3014
FINLAND,FI -1   ,LOVIISA-1,PWR  ,VVER V-213,1500,531,507,FORTUMPH,AEE,87.9,88.5,1971-05-01,1977-02-01,1977-05-01 00:00:00,2103
FINLAND,FI -2   ,LOVIISA-2,PWR  ,VVER V-213,1500,531,507,FORTUMPH,AEE,89.4,90.2,1972-08-01,1980-11-01,1981-01-01 00:00:00,3014
FINLAND,FI -3   ,OLKILUOTO-1,BWR  ,"AA-III, BWR-25",2500,920,890,TVO,ASEASTAL,92.7,93.2,1974-02-01,1978-09-01,1979-10-01 00:00:00,1673
FINLAND,FI -4   ,OLKILUOTO-2,BWR  ,"AA-III, BWR-25",2500,920,890,TVO,ASEASTAL,93.1,93.7,1975-11-01,1980-02-01,1982-07-01 00:00:00,1553
FRANCE,FR -13  ,BUGEY-2,PWR  ,CP0,2785,945,910,EDF,FRAM,71.9,74.2,1972-11-01,1978-05-01,1979-03-01 00:00:00,2007
FRANCE,FR -14  ,BUGEY-3,PWR  ,CP0,2785,945,910,EDF,FRAM,70.7,73.2,1973-09-01,1978-09-01,1979-03-01 00:00:00,1826
FRANCE,FR -15  ,BUGEY-4,PWR  ,CP0,2785,917,880,EDF,FRAM,74.9,76.9,1974-06-01,1979-03-01,1979-07-01 00:00:00,1734
FRANCE,FR -16  ,BUGEY-5,PWR  ,CP0,2785,917,880,EDF,FRAM,72.9,75.2,1974-07-01,1979-07-01,1980-01-01 00:00:00,1826
FRANCE,FR -17  ,ST. LAURENT B-1,PWR  ,CP2,2785,956,915,EDF,FRAM,75.9,78.1,1976-05-01,1981-01-01,1983-08-01 00:00:00,1706
FRANCE,FR -18  ,TRICASTIN-1,PWR  ,CP1,2785,955,915,EDF,FRAM,75.1,77.9,1974-11-01,1980-05-01,1980-12-01 00:00:00,2008
FRANCE,FR -19  ,TRICASTIN-2,PWR  ,CP1,2785,955,915,EDF,FRAM,75.6,79.1,1974-12-01,1980-08-01,1980-12-01 00:00:00,2070
FRANCE,FR -20  ,GRAVELINES-1,PWR  ,CP1,2785,951,910,EDF,FRAM,74.5,76.4,1975-02-01,1980-03-01,1980-11-01 00:00:00,1855
FRANCE,FR -21  ,GRAVELINES-2,PWR  ,CP1,2785,951,910,EDF,FRAM,77.2,79.5,1975-03-01,1980-08-01,1980-12-01 00:00:00,1980
FRANCE,FR -22  ,DAMPIERRE-1,PWR  ,CP1,2785,937,890,EDF,FRAM,76.0,78.5,1975-02-01,1980-03-01,1980-09-01 00:00:00,1855
FRANCE,FR -23  ,ST. LAURENT B-2,PWR  ,CP2,2785,956,915,EDF,FRAM,75.3,77.7,1976-07-01,1981-06-01,1983-08-01 00:00:00,1796
FRANCE,FR -25  ,TRICASTIN-3,PWR  ,CP1,2785,955,915,EDF,FRAM,76.7,80.3,1975-04-01,1981-02-01,1981-05-01 00:00:00,2133
FRANCE,FR -26  ,TRICASTIN-4,PWR  ,CP1,2785,955,915,EDF,FRAM,78.6,81.2,1975-05-01,1981-06-01,1981-11-01 00:00:00,2223
FRANCE,FR -27  ,GRAVELINES-3,PWR  ,CP1,2785,951,910,EDF,FRAM,77.3,78.8,1975-12-01,1980-12-01,1981-06-01 00:00:00,1827
FRANCE,FR -28  ,GRAVELINES-4,PWR  ,CP1,2785,951,910,EDF,FRAM,78.7,80.2,1976-04-01,1981-06-01,1981-10-01 00:00:00,1887
FRANCE,FR -29  ,DAMPIERRE-2,PWR  ,CP1,2785,937,890,EDF,FRAM,77.0,78.7,1975-04-01,1980-12-01,1981-02-01 00:00:00,2071
