Country,Code,Name,Type,Model,ThermalPower,Gross,Net,Operator,Provider,EAF,UCF,Start,Connection,Operation,Shutdown,Construction_time,Online
UK,GB -15  ,DOUNREAY PFR,FBR  ,,600,250,234,UKAEA,TNPG,,,1966-01-01,1975-01-01,1976-07-01 00:00:00,1994-03-01,3287,False
UK,GB -9A  ,DUNGENESS A-1,GCR  ,,840,230,225,ML,TNPG,,,1960-07-01,1965-09-01,1965-10-01 00:00:00,2006-12-01,1888,False
UK,GB -9B  ,DUNGENESS A-2,GCR  ,,840,230,225,ML,TNPG,,,1960-07-01,1965-11-01,1965-12-01 00:00:00,2006-12-01,1949,False
UK,GB -7A  ,HINKLEY POINT A-1,GCR  ,,900,267,235,ML,EE/B&W/T,,,1957-11-01,1965-02-01,1965-03-01 00:00:00,2000-05-01,2649,False
UK,GB -7B  ,HINKLEY POINT A-2,GCR  ,,900,267,235,ML,EE/B&W/T,,,1957-11-01,1965-03-01,1965-05-01 00:00:00,2000-05-01,2677,False
UK,GB -6A  ,HUNTERSTON A-1,GCR  ,,595,173,150,ML,GEC,,,1957-10-01,1964-02-01,1964-02-01 00:00:00,1990-03-01,2314,False
UK,GB -6B  ,HUNTERSTON A-2,GCR  ,,595,173,150,ML,GEC,,,1957-10-01,1964-06-01,1964-07-01 00:00:00,1989-12-01,2435,False
UK,GB -11A ,OLDBURY A-1,GCR  ,,730,230,217,ML,TNPG,,,1962-05-01,1967-11-01,1967-12-01 00:00:00,2012-02-01,2010,False
UK,GB -11B ,OLDBURY A-2,GCR  ,,660,230,217,ML,TNPG,,,1962-05-01,1968-04-01,1968-09-01 00:00:00,2011-06-01,2162,False
UK,GB -10A ,SIZEWELL A-1,GCR  ,,1010,245,210,ML,EE/B&W/T,,,1961-04-01,1966-01-01,1966-03-01 00:00:00,2006-12-01,1736,False
UK,GB -10B ,SIZEWELL A-2,GCR  ,,1010,245,210,ML,EE/B&W/T,,,1961-04-01,1966-04-01,1966-09-01 00:00:00,2006-12-01,1826,False
UK,GB -8A  ,TRAWSFYNYDD-1,GCR  ,,850,235,195,ML,APC,,,1959-07-01,1965-01-01,1965-03-01 00:00:00,1991-02-01,2011,False
UK,GB -8B  ,TRAWSFYNYDD-2,GCR  ,,850,235,195,ML,APC,,,1959-07-01,1965-02-01,1965-03-01 00:00:00,1991-02-01,2042,False
UK,GB -5   ,WINDSCALE AGR,GCR  ,,120,36,24,UKAEA,UKAEA,,,1958-11-01,1963-02-01,1963-03-01 00:00:00,1981-04-01,1553,False
UK,GB -12  ,WINFRITH SGHWR,SGHWR,,318,100,92,UKAEA,ICL/FE,,,1963-05-01,1967-12-01,1968-01-01 00:00:00,1990-09-01,1675,False
UK,GB -13A ,WYLFA-1,GCR  ,,1650,530,490,ML,EE/B&W/T,,,1963-09-01,1971-01-01,1971-11-01 00:00:00,2015-12-01,2679,False
UK,GB -13B ,WYLFA-2,GCR  ,,1920,540,490,ML,EE/B&W/T,,,1963-09-01,1971-07-01,1972-01-01 00:00:00,2012-04-01,2860,False
UKRAINE,UA -25  ,CHERNOBYL-1,LWGR ,,3200,800,740,MTE,FAEA,,,1970-03-01,1977-09-01,1978-05-01 00:00:00,1996-11-01,2741,False
UKRAINE,UA -26  ,CHERNOBYL-2,LWGR ,,3200,1000,925,MTE,FAEA,,,1973-02-01,1978-12-01,1979-05-01 00:00:00,1991-10-01,2129,False
UKRAINE,UA -42  ,CHERNOBYL-3,LWGR ,,3200,1000,925,MTE,FAEA,,,1976-03-01,1981-12-01,1982-06-01 00:00:00,2000-12-01,2101,False
UKRAINE,UA -43  ,CHERNOBYL-4,LWGR ,,3200,1000,925,MTE,FAEA,,,1979-04-01,1983-12-01,1984-03-01 00:00:00,1986-04-01,1705,False
USA,US -155 ,BIG ROCK POINT,BWR  ,,240,71,67,CPC,GE,,,1960-05-01,1962-12-01,1963-03-01 00:00:00,1997-08-01,944,False
USA,US -014 ,BONUS,BWR  ,,50,18,17,DOE/PRWR,GNEPRWRA,,,1960-01-01,1964-08-01,1965-09-01 00:00:00,1968-06-01,1674,False
USA,US -302 ,CRYSTAL RIVER-3,PWR  ,,2568,890,860,PROGRESS,B&W,,,1968-09-01,1977-01-01,1977-03-01 00:00:00,2013-02-01,3044,False
USA,US -144 ,CVTR,PHWR ,,65,19,17,CVPA,WH,,,1960-01-01,1963-12-01,1963-12-01 00:00:00,1967-01-01,1430,False
USA,US -10  ,DRESDEN-1,BWR  ,,700,207,197,EXELON,GE,,,1956-05-01,1960-04-01,1960-07-01 00:00:00,1978-10-01,1431,False
USA,US -331 ,DUANE ARNOLD-1,BWR  ,,1912,624,601,NEXTERA,GE,,,1970-06-01,1974-05-01,1975-02-01 00:00:00,2020-10-01,1430,False
USA,US -011 ,ELK RIVER,BWR  ,,58,24,22,RCPA,AC,,,1959-01-01,1963-08-01,1964-07-01 00:00:00,1968-02-01,1673,False
USA,US -16  ,FERMI-1,FBR  ,,200,65,61,DTEDISON,UEC,,,1956-08-01,1966-08-01,1966-08-01 00:00:00,1972-11-01,3652,False
USA,US -285 ,FORT CALHOUN-1,PWR  ,,1500,512,482,EXELON,CE,,,1968-06-01,1973-08-01,1973-09-01 00:00:00,2016-10-01,1887,False
USA,US -267 ,FORT ST. VRAIN,HTGR ,,842,342,330,PSCC,GA,,,1968-09-01,1976-12-01,1979-07-01 00:00:00,1989-08-01,3013,False
USA,US -018 ,GE VALLECITOS,BWR  ,,50,24,24,GE,GE,,,1956-01-01,1957-10-01,1957-10-01 00:00:00,1963-12-01,639,False
USA,US -213 ,HADDAM NECK,PWR  ,,1825,603,560,CYAPC,WH,,,1964-05-01,1967-08-01,1968-01-01 00:00:00,1996-12-01,1187,False
USA,US -077 ,HALLAM,X    ,,256,84,75,AEC/NPPD,GE,,,1959-01-01,1963-09-01,1963-11-01 00:00:00,1964-09-01,1704,False
USA,US -133 ,HUMBOLDT BAY,BWR  ,,220,65,63,PG&E,GE,,,1960-11-01,1963-04-01,1963-08-01 00:00:00,1976-07-01,881,False
USA,US -013 ,INDIAN POINT-1,PWR  ,,615,277,257,ENTERGY,B&W,,,1956-05-01,1962-09-01,1962-10-01 00:00:00,1974-10-01,2314,False
USA,US -247 ,INDIAN POINT-2,PWR  ,,3216,1067,998,ENTERGY,WH,,,1966-10-01,1973-06-01,1974-08-01 00:00:00,2020-04-01,2435,False
USA,US -305 ,KEWAUNEE,PWR  ,,1772,595,566,DOMINION,WH,,,1968-08-01,1974-04-01,1974-06-01 00:00:00,2013-05-01,2069,False
USA,US -409 ,LACROSSE,BWR  ,,165,55,48,DPC,AC,,,1963-03-01,1968-04-01,1969-11-01 00:00:00,1987-04-01,1858,False
USA,US -309 ,MAINE YANKEE,PWR  ,,2630,900,860,MYAPC,CE,,,1968-10-01,1972-11-01,1972-12-01 00:00:00,1997-08-01,1492,False
USA,US -245 ,MILLSTONE-1,BWR  ,,2011,684,641,DOMINION,GE,,,1966-05-01,1970-11-01,1971-03-01 00:00:00,1998-07-01,1645,False
USA,US -219 ,OYSTER CREEK,BWR  ,,1930,652,619,EXELON,GE,,,1964-12-01,1969-09-01,1969-12-01 00:00:00,2018-09-01,1735,False
USA,US -130 ,PATHFINDER,BWR  ,,220,63,59,NMC,AC,,,1959-01-01,1966-07-01,1966-08-01 00:00:00,1967-10-01,2738,False
USA,US -171 ,PEACH BOTTOM-1,HTGR ,,115,42,40,EXELON,GA,,,1962-02-01,1967-01-01,1967-06-01 00:00:00,1974-11-01,1795,False
USA,US -293 ,PILGRIM-1,BWR  ,,2028,711,677,ENTERGY,GE,,,1968-08-01,1972-07-01,1972-12-01 00:00:00,2019-05-01,1430,False
USA,US -012 ,PIQUA,X    ,,46,12,12,CofPiqua,GE,,,1960-01-01,1963-07-01,1963-11-01 00:00:00,1966-01-01,1277,False
USA,US -312 ,RANCHO SECO-1,PWR  ,,2772,917,873,SMUD,B&W,,,1969-04-01,1974-10-01,1975-04-01 00:00:00,1989-06-01,2009,False
USA,US -206 ,SAN ONOFRE-1,PWR  ,,1347,456,436,SCE,WH,,,1964-05-01,1967-07-01,1968-01-01 00:00:00,1992-11-01,1156,False
USA,US -361 ,SAN ONOFRE-2,PWR  ,,3438,1127,1070,SCE,CE,,,1974-03-01,1982-09-01,1983-08-01 00:00:00,2013-06-01,3106,False
USA,US -362 ,SAN ONOFRE-3,PWR  ,,3438,1127,1080,SCE,CE,,,1974-03-01,1983-09-01,1984-04-01 00:00:00,2013-06-01,3471,False
USA,US -146 ,SAXTON,PWR  ,,24,3,3,SNEC,GE,,,1960-01-01,1967-03-01,1967-03-01 00:00:00,1972-05-01,2616,False
USA,US -001 ,SHIPPINGPORT,PWR  ,,236,68,60,DOE DUQU,WH,,,1954-01-01,1957-12-01,1958-05-01 00:00:00,1982-10-01,1430,False
USA,US -322 ,SHOREHAM,BWR  ,,2436,849,820,LIPA,GE,,,1972-11-01,1986-08-01,1986-08-01 00:00:00,1989-05-01,5021,False
USA,US -289 ,THREE MILE ISLAND-1,PWR  ,,2568,880,819,EXELON,B&W,,,1968-05-01,1974-06-01,1974-09-01 00:00:00,2019-09-01,2222,False
USA,US -320 ,THREE MILE ISLAND-2,PWR  ,,2772,959,880,GPU,B&W,,,1969-11-01,1978-04-01,1978-12-01 00:00:00,1979-03-01,3073,False
USA,US -344 ,TROJAN,PWR  ,,3411,1155,1095,PORTGE,WH,,,1970-02-01,1975-12-01,1976-05-01 00:00:00,1992-11-01,2129,False
USA,US -271 ,VERMONT YANKEE,BWR  ,,1912,635,605,ENTERGY,GE,,,1967-12-01,1972-09-01,1972-11-01 00:00:00,2014-12-01,1736,False
USA,US -29  ,YANKEE NPS,PWR  ,,600,180,167,YAEC,WH,,,1957-11-01,1960-11-01,1961-07-01 00:00:00,1991-10-01,1096,False
USA,US -295 ,ZION-1,PWR  ,,3250,1085,1040,EXELON,WH,,,1968-12-01,1973-06-01,1973-12-01 00:00:00,1998-02-01,1643,False
USA,US -304 ,ZION-2,PWR  ,,3250,1085,1040,EXELON,WH,,,1968-12-01,1973-12-01,1974-09-01 00:00:00,1998-02-01,1826,False
"TAIWAN,CHINA",TW -1   ,CHINSHAN-1,BWR  ,,1840,636,604,TPC,GE,,,1972-06-01,1977-11-01,1978-12-01 00:00:00,2018-12-01,1979,False
"TAIWAN,CHINA",TW -2   ,CHINSHAN-2,BWR  ,,1840,636,604,TPC,GE,,,1973-12-01,1978-12-01,1979-07-01 00:00:00,2019-07-01,1826,False
ARGENTINA,AR -1   ,ATUCHA-1,PHWR ,PHWR KWU,1179,362,340,NASA,SIEMENS,74.5,75.5,1968-06-01,1974-03-01,1974-06-01 00:00:00,,2099,True
ARGENTINA,AR -2   ,EMBALSE,PHWR ,CANDU 6,2064,656,608,NASA,AECL,78.6,78.9,1974-04-01,1983-04-01,1984-01-01 00:00:00,,3287,True
ARGENTINA,AR -3   ,ATUCHA-2,PHWR ,PHWR KWU,2160,745,693,NASA,SIEMENS,53.1,53.1,1981-07-01,2014-06-01,2016-05-01 00:00:00,,12023,True
ARMENIA,AM -19  ,ARMENIAN-2,PWR  ,VVER V-270,1375,451,415,ANPPCJSC,FAEA,65.6,67.7,1975-07-01,1980-01-01,1980-05-01 00:00:00,,1645,True
BELARUS,BY -1   ,BELARUSIAN-1,PWR  ,VVER V-491,3200,1194,1110,BelNPP,JSC ASE,0.0,0.0,2013-11-01,2020-11-01,,,2557,True
BELGIUM,BE -2   ,DOEL-1,PWR  ,WH 2LP,1311,454,445,EBL+EDF,ACECOWEN,83.4,84.2,1969-07-01,1974-08-01,1975-02-01 00:00:00,,1857,True
BELGIUM,BE -3   ,TIHANGE-1,PWR  ,Framatome 3 lo,2873,1009,962,EBL,ACLF,79.9,81.9,1970-06-01,1975-03-01,1975-10-01 00:00:00,,1734,True
BELGIUM,BE -4   ,DOEL-2,PWR  ,WH 2LP,1311,454,445,EBL+EDF,ACECOWEN,80.9,81.7,1971-09-01,1975-08-01,1975-12-01 00:00:00,,1430,True
BELGIUM,BE -5   ,DOEL-3,PWR  ,WH 3LP,3054,1056,1006,EBL+EDF,FRAMACEC,78.5,79.5,1975-01-01,1982-06-01,1982-10-01 00:00:00,,2708,True
BELGIUM,BE -6   ,TIHANGE-2,PWR  ,WH 3LP,3064,1055,1008,EBL,FRAMACEC,79.7,80.6,1976-04-01,1982-10-01,1983-06-01 00:00:00,,2374,True
BELGIUM,BE -7   ,DOEL-4,PWR  ,WH 3LP,2988,1090,1038,EBL+EDF,ACECOWEN,83.3,84.0,1978-12-01,1985-04-01,1985-07-01 00:00:00,,2313,True
BELGIUM,BE -8   ,TIHANGE-3,PWR  ,WH 3LP,3000,1089,1038,EBL,ACECOWEN,85.9,87.3,1978-11-01,1985-06-01,1985-09-01 00:00:00,,2404,True
BRAZIL,BR -1   ,ANGRA-1,PWR  ,WH 2LP,1882,640,609,ELETROBR,WH,62.9,67.8,1971-05-01,1982-04-01,1985-01-01 00:00:00,,3988,True
BRAZIL,BR -2   ,ANGRA-2,PWR  ,PRE KONVOI,3764,1350,1275,ELETROBR,KWU,87.0,88.2,1976-01-01,2000-07-01,2001-02-01 00:00:00,,8948,True
BULGARIA,BG -5   ,KOZLODUY-5,PWR  ,VVER V-320,3000,1000,1003,KOZNPP,AEE,72.8,74.9,1980-07-01,1987-11-01,1988-12-01 00:00:00,,2679,True
BULGARIA,BG -6   ,KOZLODUY-6,PWR  ,VVER V-320,3120,1040,1003,KOZNPP,AEE,78.7,80.5,1982-04-01,1991-08-01,1993-12-01 00:00:00,,3409,True
CANADA,CA -10  ,BRUCE-3,PHWR ,CANDU 750A,2550,830,770,BRUCEPOW,OH/AECL,74.8,75.3,1972-07-01,1977-12-01,1978-02-01 00:00:00,,1979,True
CANADA,CA -11  ,BRUCE-4,PHWR ,CANDU 750A,2550,830,769,BRUCEPOW,OH/AECL,74.0,74.6,1972-09-01,1978-12-01,1979-01-01 00:00:00,,2282,True
CANADA,CA -13  ,PICKERING-5,PHWR ,CANDU 500B,1744,540,516,OPG,OH/AECL,74.7,75.4,1974-11-01,1982-12-01,1983-05-01 00:00:00,,2952,True
CANADA,CA -14  ,PICKERING-6,PHWR ,CANDU 500B,1744,540,516,OPG,OH/AECL,78.2,78.9,1975-10-01,1983-11-01,1984-02-01 00:00:00,,2953,True
CANADA,CA -15  ,PICKERING-7,PHWR ,CANDU 500B,1744,540,516,OPG,OH/AECL,78.4,79.0,1976-03-01,1984-11-01,1985-01-01 00:00:00,,3167,True
CANADA,CA -16  ,PICKERING-8,PHWR ,CANDU 500B,1744,540,516,OPG,OH/AECL,76.1,76.8,1976-09-01,1986-01-01,1986-02-01 00:00:00,,3409,True
CANADA,CA -17  ,POINT LEPREAU,PHWR ,CANDU 6,2180,705,660,NBEPC,AECL,72.3,73.1,1975-05-01,1982-09-01,1983-02-01 00:00:00,,2680,True
CANADA,CA -18  ,BRUCE-5,PHWR ,CANDU 750B,2832,872,817,BRUCEPOW,OH/AECL,85.3,85.8,1978-06-01,1984-12-01,1985-03-01 00:00:00,,2375,True
CANADA,CA -19  ,BRUCE-6,PHWR ,CANDU 750B,2690,891,817,BRUCEPOW,OH/AECL,81.2,81.8,1978-01-01,1984-06-01,1984-09-01 00:00:00,,2343,True
CANADA,CA -20  ,BRUCE-7,PHWR ,CANDU 750B,2832,872,817,BRUCEPOW,OH/AECL,85.8,86.5,1979-05-01,1986-02-01,1986-04-01 00:00:00,,2468,True
CANADA,CA -21  ,BRUCE-8,PHWR ,CANDU 750B,2690,872,817,BRUCEPOW,OH/AECL,83.6,84.5,1979-08-01,1987-03-01,1987-05-01 00:00:00,,2769,True
CANADA,CA -22  ,DARLINGTON-1,PHWR ,CANDU 850,2776,934,878,OPG,OH/AECL,85.5,86.5,1982-04-01,1990-12-01,1992-11-01 00:00:00,,3166,True
CANADA,CA -23  ,DARLINGTON-2,PHWR ,CANDU 850,2776,934,878,OPG,OH/AECL,70.5,71.4,1981-09-01,1990-01-01,1990-10-01 00:00:00,,3044,True
CANADA,CA -24  ,DARLINGTON-3,PHWR ,CANDU 850,2776,934,878,OPG,OH/AECL,85.3,86.1,1984-09-01,1992-12-01,1993-02-01 00:00:00,,3013,True
CANADA,CA -25  ,DARLINGTON-4,PHWR ,CANDU 850,2776,934,878,OPG,OH/AECL,85.9,86.6,1985-07-01,1993-04-01,1993-06-01 00:00:00,,2831,True
CANADA,CA -4   ,PICKERING-1,PHWR ,CANDU 500A,1744,542,515,OPG,OH/AECL,67.4,67.6,1966-06-01,1971-04-01,1971-07-01 00:00:00,,1765,True
CANADA,CA -7   ,PICKERING-4,PHWR ,CANDU 500A,1744,542,515,OPG,OH/AECL,67.5,67.9,1968-05-01,1973-05-01,1973-06-01 00:00:00,,1826,True
CANADA,CA -8   ,BRUCE-1,PHWR ,CANDU 791,2620,830,774,BRUCEPOW,OH/AECL,72.1,72.6,1971-06-01,1977-01-01,1977-09-01 00:00:00,,2041,True
CANADA,CA -9   ,BRUCE-2,PHWR ,CANDU 791,2620,830,777,BRUCEPOW,OH/AECL,68.8,69.3,1970-12-01,1976-09-01,1977-09-01 00:00:00,,2101,True
CHINA,CN -1   ,QINSHAN-1,PWR  ,CNP-300,966,330,308,CNNO,CNNC,82.0,83.0,1985-03-01,1991-12-01,1994-04-01 00:00:00,,2466,True
CHINA,CN -10  ,TIANWAN-1,PWR  ,VVER V-428,3000,1060,990,JNPC,IZ,86.6,86.8,1999-10-01,2006-05-01,2007-05-01 00:00:00,,2404,True
CHINA,CN -11  ,TIANWAN-2,PWR  ,VVER V-428,3000,1060,990,JNPC,IZ,89.2,89.3,2000-09-01,2007-05-01,2007-08-01 00:00:00,,2433,True
CHINA,CN -12  ,LING AO-3,PWR  ,CPR-1000,2905,1086,1007,DNMC,DEC,88.1,88.3,2005-12-01,2010-07-01,2010-09-01 00:00:00,,1673,True
CHINA,CN -13  ,LING AO-4,PWR  ,CPR-1000,2905,1086,1007,DNMC,DEC,90.1,90.4,2006-06-01,2011-05-01,2011-08-01 00:00:00,,1795,True
CHINA,CN -14  ,QINSHAN 2-3,PWR  ,CNP-600,1930,660,619,NPQJVC,CNNC,90.9,91.0,2006-04-01,2010-08-01,2010-10-01 00:00:00,,1583,True
CHINA,CN -15  ,QINSHAN 2-4,PWR  ,CNP-600,1930,660,619,NPQJVC,CNNC,91.4,91.5,2007-01-01,2011-11-01,2011-12-01 00:00:00,,1765,True
CHINA,CN -16  ,HONGYANHE-1,PWR  ,CPR-1000,2905,1119,1061,LHNPC,DEC,87.7,88.6,2007-08-01,2013-02-01,2013-06-01 00:00:00,,2011,True
CHINA,CN -17  ,HONGYANHE-2,PWR  ,CPR-1000,2905,1119,1061,LHNPC,DEC,85.6,86.6,2008-03-01,2013-11-01,2014-05-01 00:00:00,,2071,True
CHINA,CN -18  ,NINGDE-1,PWR  ,CPR-1000,2905,1089,1018,NDNP,DEC,87.3,87.4,2008-02-01,2012-12-01,2013-04-01 00:00:00,,1765,True
CHINA,CN -19  ,NINGDE-2,PWR  ,CPR-1000,2905,1089,1018,NDNP,SHE,91.8,91.8,2008-11-01,2014-01-01,2014-05-01 00:00:00,,1887,True
CHINA,CN -2   ,DAYA BAY-1,PWR  ,M310,2905,984,944,DNMC,FRAM,86.5,88.9,1987-08-01,1993-08-01,1994-02-01 00:00:00,,2192,True
CHINA,CN -20  ,FUQING-1,PWR  ,CNP-1000,2905,1089,1000,FQNP,NPIC,89.7,89.9,2008-11-01,2014-08-01,2014-11-01 00:00:00,,2099,True
CHINA,CN -21  ,FUQING-2,PWR  ,CNP-1000,2905,1089,1000,FQNP,NPIC,89.0,89.2,2009-06-01,2015-08-01,2015-10-01 00:00:00,,2252,True
CHINA,CN -22  ,YANGJIANG-1,PWR  ,CPR-1000,2905,1086,1000,YJNPC,CFHI,90.6,90.7,2008-12-01,2013-12-01,2014-03-01 00:00:00,,1826,True
CHINA,CN -23  ,YANGJIANG-2,PWR  ,CPR-1000,2905,1086,1000,YJNPC,CFHI,89.9,90.0,2009-06-01,2015-03-01,2015-06-01 00:00:00,,2099,True
CHINA,CN -24  ,FANGJIASHAN-1,PWR  ,CPR-1000,2905,1089,1012,QNPC,NPIC,90.6,91.1,2008-12-01,2014-11-01,2014-12-01 00:00:00,,2161,True
CHINA,CN -25  ,FANGJIASHAN-2,PWR  ,CPR-1000,2905,1089,1012,QNPC,NPIC,92.3,92.6,2009-07-01,2015-01-01,2015-02-01 00:00:00,,2010,True
CHINA,CN -26  ,HONGYANHE-3,PWR  ,CPR-1000,2905,1119,1061,LHNPC,DEC,89.9,91.2,2009-03-01,2015-03-01,2015-08-01 00:00:00,,2191,True
CHINA,CN -27  ,HONGYANHE-4,PWR  ,CPR-1000,2905,1119,1061,LHNPC,DEC,89.2,90.4,2009-08-01,2016-04-01,2016-06-01 00:00:00,,2435,True
CHINA,CN -28  ,SANMEN-1,PWR  ,AP-1000,3400,1251,1157,SMNPC,WH/MHI,90.4,91.3,2009-04-01,2018-06-01,2018-09-01 00:00:00,,3348,True
CHINA,CN -29  ,SANMEN-2,PWR  ,AP-1000,3400,1251,1157,SMNPC,WH/MHI,55.6,56.9,2009-12-01,2018-08-01,2018-11-01 00:00:00,,3165,True
CHINA,CN -3   ,DAYA BAY-2,PWR  ,M310,2905,984,944,DNMC,FRAM,86.1,87.2,1988-04-01,1994-02-01,1994-05-01 00:00:00,,2132,True
CHINA,CN -30  ,HAIYANG-1,PWR  ,AP-1000,3415,1250,1170,SDNPC,WH,91.3,92.0,2009-09-01,2018-08-01,2018-10-01 00:00:00,,3256,True
CHINA,CN -31  ,HAIYANG-2,PWR  ,AP-1000,3415,1250,1170,SDNPC,WH,93.4,94.2,2010-06-01,2018-10-01,2019-01-01 00:00:00,,3044,True
CHINA,CN -32  ,TAISHAN-1,PWR  ,EPR-1750,4590,1750,1660,TNPJVC,ORANO,80.8,81.3,2009-11-01,2018-06-01,2018-12-01 00:00:00,,3134,True
CHINA,CN -33  ,TAISHAN-2,PWR  ,EPR-1750,4590,1750,1660,TNPJVC,ORANO,0.0,0.0,2010-04-01,2019-06-01,,,3348,True
CHINA,CN -34  ,NINGDE-3,PWR  ,CPR-1000,2905,1089,1018,NDNP,CFHI,91.5,91.5,2010-01-01,2015-03-01,2015-06-01 00:00:00,,1885,True
CHINA,CN -35  ,NINGDE-4,PWR  ,CPR-1000,2905,1089,1018,NDNP,CFHI,91.9,91.9,2010-09-01,2016-03-01,2016-07-01 00:00:00,,2008,True
CHINA,CN -36  ,CHANGJIANG-1,PWR  ,CNP-600,1930,650,601,HNPC,DEC,88.1,88.1,2010-04-01,2015-11-01,2015-12-01 00:00:00,,2040,True
CHINA,CN -37  ,CHANGJIANG-2,PWR  ,CNP-600,1930,650,601,HNPC,DEC,88.5,88.5,2010-11-01,2016-06-01,2016-08-01 00:00:00,,2039,True
CHINA,CN -38  ,FANGCHENGGANG-1,PWR  ,CPR-1000,2905,1086,1000,GFNPC,DEC,91.5,91.6,2010-07-01,2015-10-01,2016-01-01 00:00:00,,1918,True
