Country,Code,Name,Type,Model,ThermalPower,Gross,Net,Operator,Provider,EAF,UCF,Start,Connection,Operation,Shutdown,Construction_time,Online
JAPAN,JP -37  ,SENDAI-2,PWR  ,M (3-loop),2660,890,846,KYUSHU,MHI,72.3,72.3,1981-10-01,1985-04-01,1985-11-01 00:00:00,,1278,True
JAPAN,JP -39  ,KASHIWAZAKI KARIWA-2,BWR  ,BWR-5,3293,1100,1067,TEPCO,TOSHIBA,41.6,41.6,1985-11-01,1990-02-01,1990-09-01 00:00:00,,1553,True
JAPAN,JP -40  ,KASHIWAZAKI KARIWA-5,BWR  ,BWR-5,3293,1100,1067,TEPCO,HITACHI,47.3,49.0,1985-06-01,1989-09-01,1990-04-01 00:00:00,,1553,True
JAPAN,JP -41  ,SHIMANE-2,BWR  ,BWR-5,2436,820,789,CHUGOKU,HITACHI,57.8,57.9,1985-02-01,1988-07-01,1989-02-01 00:00:00,,1246,True
JAPAN,JP -43  ,TOMARI-1,PWR  ,M (2-loop),1650,579,550,HEPCO,MHI,58.8,58.8,1985-04-01,1988-12-01,1989-06-01 00:00:00,,1340,True
JAPAN,JP -44  ,TOMARI-2,PWR  ,M (2-loop),1650,579,550,HEPCO,MHI,56.9,56.9,1985-06-01,1990-08-01,1991-04-01 00:00:00,,1887,True
JAPAN,JP -45  ,GENKAI-3,PWR  ,M (4-loop),3423,1180,1127,KYUSHU,MHI,61.9,61.9,1988-06-01,1993-06-01,1994-03-01 00:00:00,,1826,True
JAPAN,JP -46  ,GENKAI-4,PWR  ,M (4-loop),3423,1180,1127,KYUSHU,MHI,62.6,62.6,1992-07-01,1996-11-01,1997-07-01 00:00:00,,1584,True
JAPAN,JP -47  ,IKATA-3,PWR  ,M (3-loop),2660,890,846,SHIKOKU,MHI,66.3,66.3,1990-10-01,1994-03-01,1994-12-01 00:00:00,,1247,True
JAPAN,JP -48  ,SHIKA-1,BWR  ,BWR-5,1593,540,505,HOKURIKU,HITACHI,45.7,45.7,1989-07-01,1993-01-01,1993-07-01 00:00:00,,1280,True
JAPAN,JP -49  ,HAMAOKA-4,BWR  ,BWR-5,3293,1137,1092,CHUBU,TOSHIBA,51.7,52.1,1989-10-01,1993-01-01,1993-09-01 00:00:00,,1188,True
JAPAN,JP -50  ,OHI-3,PWR  ,M (4-loop),3423,1180,1127,KEPCO,MHI,65.1,65.1,1987-10-01,1991-06-01,1991-12-01 00:00:00,,1339,True
JAPAN,JP -51  ,OHI-4,PWR  ,M (4-loop),3423,1180,1127,KEPCO,MHI,68.6,68.6,1988-06-01,1992-06-01,1993-02-01 00:00:00,,1461,True
JAPAN,JP -52  ,KASHIWAZAKI KARIWA-3,BWR  ,BWR-5,3293,1100,1067,TEPCO,TOSHIBA,38.4,39.0,1989-03-01,1992-12-01,1993-08-01 00:00:00,,1371,True
JAPAN,JP -53  ,KASHIWAZAKI KARIWA-4,BWR  ,BWR-5,3293,1100,1067,TEPCO,HITACHI,36.6,38.4,1990-03-01,1993-12-01,1994-08-01 00:00:00,,1371,True
JAPAN,JP -54  ,ONAGAWA-2,BWR  ,BWR-5,2436,825,796,TOHOKU,TOSHIBA,44.8,48.3,1991-04-01,1994-12-01,1995-07-01 00:00:00,,1340,True
JAPAN,JP -55  ,KASHIWAZAKI KARIWA-6,BWR  ,ABWR,3926,1356,1315,TEPCO,TOSHIBA,46.1,47.8,1992-11-01,1996-01-01,1996-11-01 00:00:00,,1156,True
JAPAN,JP -56  ,KASHIWAZAKI KARIWA-7,BWR  ,ABWR,3926,1356,1315,TEPCO,HITACHI,41.7,43.3,1993-07-01,1996-12-01,1997-07-01 00:00:00,,1249,True
JAPAN,JP -57  ,ONAGAWA-3,BWR  ,BWR-5,2436,825,796,TOHOKU,TOSHIBA,32.3,35.6,1998-01-01,2001-05-01,2002-01-01 00:00:00,,1216,True
JAPAN,JP -58  ,HIGASHI DORI-1 (TOHOKU),BWR  ,BWR-5,3293,1100,1067,TOHOKU,TOSHIBA,28.3,28.4,2000-11-01,2005-03-01,2005-12-01 00:00:00,,1581,True
JAPAN,JP -59  ,SHIKA-2,BWR  ,ABWR,3926,1206,1108,HOKURIKU,HITACHI,17.4,17.4,2001-08-01,2005-07-01,2006-03-01 00:00:00,,1430,True
JAPAN,JP -60  ,HAMAOKA-5,BWR  ,ABWR,3926,1380,1325,CHUBU,TOSHIBA,18.4,21.9,2000-07-01,2004-04-01,2005-01-01 00:00:00,,1370,True
JAPAN,JP -64  ,TOMARI-3,PWR  ,M (3-loop),2660,912,866,HEPCO,MHI,19.7,19.7,2004-11-01,2009-03-01,2009-12-01 00:00:00,,1581,True
JAPAN,JP -8   ,TAKAHAMA-1,PWR  ,M (3-loop),2440,826,780,KEPCO,WH/MHI,54.5,54.5,1970-04-01,1974-03-01,1974-11-01 00:00:00,,1430,True
"KOREA,REP.OF",KR -10  ,HANUL-2,PWR  ,France CPI,2775,1010,967,KHNP,FRAM,86.8,87.0,1983-07-01,1989-04-01,1989-09-01 00:00:00,,2101,True
"KOREA,REP.OF",KR -11  ,HANBIT-3,PWR  ,OPR-1000,2825,1039,986,KHNP,DHICKAEC,77.5,77.7,1989-12-01,1994-10-01,1995-03-01 00:00:00,,1765,True
"KOREA,REP.OF",KR -12  ,HANBIT-4,PWR  ,OPR-1000,2825,1022,970,KHNP,DHICKAEC,75.7,75.9,1990-05-01,1995-07-01,1996-01-01 00:00:00,,1887,True
"KOREA,REP.OF",KR -13  ,HANUL-3,PWR  ,OPR-1000,2825,1051,997,KHNP,DHICKOPC,85.8,86.0,1993-07-01,1998-01-01,1998-08-01 00:00:00,,1645,True
"KOREA,REP.OF",KR -14  ,HANUL-4,PWR  ,OPR-1000,2825,1052,999,KHNP,DHICKOPC,80.8,80.9,1993-11-01,1998-12-01,1999-12-01 00:00:00,,1856,True
"KOREA,REP.OF",KR -15  ,WOLSONG-3,PHWR ,CANDU 6,2061,630,627,KHNP,AECL/DHI,85.3,86.6,1994-03-01,1998-03-01,1998-07-01 00:00:00,,1461,True
"KOREA,REP.OF",KR -16  ,WOLSONG-4,PHWR ,CANDU 6,2061,597,600,KHNP,AECL/DHI,90.6,91.4,1994-07-01,1999-05-01,1999-10-01 00:00:00,,1765,True
"KOREA,REP.OF",KR -17  ,HANBIT-5,PWR  ,OPR-1000,2825,1050,992,KHNP,DHICKOPC,84.0,84.2,1997-06-01,2001-12-01,2002-05-01 00:00:00,,1644,True
"KOREA,REP.OF",KR -18  ,HANBIT-6,PWR  ,OPR-1000,2825,1053,993,KHNP,DHICKOPC,86.7,87.0,1997-11-01,2002-09-01,2002-12-01 00:00:00,,1765,True
"KOREA,REP.OF",KR -19  ,HANUL-5,PWR  ,OPR-1000,2825,1048,998,KHNP,DHICKOPC,89.3,89.5,1999-10-01,2003-12-01,2004-07-01 00:00:00,,1522,True
"KOREA,REP.OF",KR -2   ,KORI-2,PWR  ,WH F,1882,681,640,KHNP,WH,84.1,84.5,1977-12-01,1983-04-01,1983-07-01 00:00:00,,1947,True
"KOREA,REP.OF",KR -20  ,HANUL-6,PWR  ,OPR-1000,2825,1049,997,KHNP,DHICKOPC,88.3,88.5,2000-09-01,2005-01-01,2005-04-01 00:00:00,,1583,True
"KOREA,REP.OF",KR -21  ,SHIN-KORI-1,PWR  ,OPR-1000,2825,1046,996,KHNP,DHICKOPC,73.8,75.0,2006-06-01,2010-08-01,2011-02-01 00:00:00,,1522,True
"KOREA,REP.OF",KR -22  ,SHIN-KORI-2,PWR  ,OPR-1000,2825,1048,996,KHNP,DHICKOPC,81.7,82.9,2007-06-01,2012-01-01,2012-07-01 00:00:00,,1675,True
"KOREA,REP.OF",KR -23  ,SHIN-WOLSONG-1,PWR  ,OPR-1000,2825,1048,997,KHNP,DHICKOPC,82.5,82.7,2007-11-01,2012-01-01,2012-07-01 00:00:00,,1522,True
"KOREA,REP.OF",KR -24  ,SHIN-WOLSONG-2,PWR  ,OPR-1000,2825,1052,993,KHNP,DHICKOPC,82.6,82.7,2008-09-01,2015-02-01,2015-07-01 00:00:00,,2344,True
"KOREA,REP.OF",KR -25  ,SHIN-KORI-3,PWR  ,APR-1400,3983,1488,1416,KHNP,DHICKOPC,76.3,76.5,2008-10-01,2016-01-01,2016-12-01 00:00:00,,2648,True
"KOREA,REP.OF",KR -26  ,SHIN-KORI-4,PWR  ,APR-1400,3983,1494,1418,KHNP,DHICKOPC,82.5,82.6,2009-08-01,2019-04-01,2019-08-01 00:00:00,,3530,True
"KOREA,REP.OF",KR -4   ,WOLSONG-2,PHWR ,CANDU 6,2061,605,596,KHNP,AECL/DHI,89.4,90.6,1992-09-01,1997-04-01,1997-07-01 00:00:00,,1673,True
"KOREA,REP.OF",KR -5   ,KORI-3,PWR  ,WH F,2912,1045,1011,KHNP,WH,82.8,83.1,1979-10-01,1985-01-01,1985-09-01 00:00:00,,1919,True
"KOREA,REP.OF",KR -6   ,KORI-4,PWR  ,WH F,2912,1046,1012,KHNP,WH,84.2,84.6,1980-04-01,1985-12-01,1986-04-01 00:00:00,,2070,True
"KOREA,REP.OF",KR -7   ,HANBIT-1,PWR  ,WH F,2787,1026,995,KHNP,WH,84.6,84.8,1981-06-01,1986-03-01,1986-08-01 00:00:00,,1734,True
"KOREA,REP.OF",KR -8   ,HANBIT-2,PWR  ,WH F,2787,1026,988,KHNP,WH,83.0,83.1,1981-12-01,1986-11-01,1987-06-01 00:00:00,,1796,True
"KOREA,REP.OF",KR -9   ,HANUL-1,PWR  ,France CPI,2775,1010,966,KHNP,FRAM,85.3,85.5,1983-01-01,1988-04-01,1988-09-01 00:00:00,,1917,True
MEXICO,MX -1   ,LAGUNA VERDE-1,BWR  ,BWR-5,2317,805,777,CFE,GE,80.0,81.4,1976-10-01,1989-04-01,1990-07-01 00:00:00,,4565,True
MEXICO,MX -2   ,LAGUNA VERDE-2,BWR  ,BWR-5,2317,803,775,CFE,GE,83.1,84.1,1977-06-01,1994-11-01,1995-04-01 00:00:00,,6362,True
NETHERLANDS,NL -2   ,BORSSELE,PWR  ,KWU 2LP,1366,515,482,EPZ,S/KWU,84.8,85.3,1969-07-01,1973-07-01,1973-10-01 00:00:00,,1461,True
PAKISTAN,PK -1   ,KANUPP-1,PHWR ,CANDU-137 MW,337,100,90,PAEC,CGE,31.8,32.7,1966-08-01,1971-10-01,1972-12-01 00:00:00,,1887,True
PAKISTAN,PK -2   ,CHASNUPP-1,PWR  ,CNP-300,999,325,300,PAEC,CNNC,77.6,78.0,1993-08-01,2000-06-01,2000-09-01 00:00:00,,2496,True
PAKISTAN,PK -3   ,CHASNUPP-2,PWR  ,CNP-300,999,325,300,PAEC,CNNC,85.0,85.3,2005-12-01,2011-03-01,2011-05-01 00:00:00,,1916,True
PAKISTAN,PK -4   ,CHASNUPP-3,PWR  ,CNP-300,999,340,315,PAEC,CNNC,87.3,88.1,2011-05-01,2016-10-01,2016-12-01 00:00:00,,1980,True
PAKISTAN,PK -5   ,CHASNUPP-4,PWR  ,CNP-300,999,340,313,PAEC,CNNC,89.8,90.5,2011-12-01,2017-06-01,2017-09-01 00:00:00,,2009,True
ROMANIA,RO -1   ,CERNAVODA-1,PHWR ,CANDU 6,2180,706,650,SNN,AECL,89.6,90.7,1983-03-01,1996-07-01,1996-12-01 00:00:00,,4871,True
ROMANIA,RO -2   ,CERNAVODA-2,PHWR ,CANDU 6,2180,705,650,SNN,AECL,94.1,95.0,1983-07-01,2007-08-01,2007-11-01 00:00:00,,8797,True
RUSSIA,RU -11  ,NOVOVORONEZH-4,PWR  ,VVER V-179,1375,417,385,REA,AEM,78.0,79.3,1967-07-01,1972-12-01,1973-03-01 00:00:00,,1980,True
RUSSIA,RU -116 ,BELOYARSK-4,FBR  ,BN-800,2100,885,820,REA,AEM,71.3,72.4,2006-07-01,2015-12-01,2016-10-01 00:00:00,,3440,True
RUSSIA,RU -12  ,KOLA-1,PWR  ,VVER V-230,1375,440,411,REA,AEM,71.9,77.2,1970-05-01,1973-06-01,1973-12-01 00:00:00,,1127,True
RUSSIA,RU -13  ,KOLA-2,PWR  ,VVER V-230,1375,440,411,REA,AEM,72.8,77.3,1970-05-01,1974-12-01,1975-02-01 00:00:00,,1675,True
RUSSIA,RU -142 ,BILIBINO-2,LWGR ,EGP-6,62,12,11,REA,AEM,72.7,81.5,1970-01-01,1974-12-01,1975-02-01 00:00:00,,1795,True
RUSSIA,RU -143 ,BILIBINO-3,LWGR ,EGP-6,62,12,11,REA,AEM,73.0,82.0,1970-01-01,1975-12-01,1976-02-01 00:00:00,,2160,True
RUSSIA,RU -144 ,BILIBINO-4,LWGR ,EGP-6,62,12,11,REA,AEM,71.6,80.1,1970-01-01,1976-12-01,1977-01-01 00:00:00,,2526,True
RUSSIA,RU -151 ,AKADEMIK LOMONOSOV-1,PWR  ,KLT-40S 'Float,150,35,32,REA,AEM,90.4,90.4,2007-04-01,2019-12-01,2020-05-01 00:00:00,,4627,True
RUSSIA,RU -152 ,AKADEMIK LOMONOSOV-2,PWR  ,KLT-40S 'Float,150,35,32,REA,AEM,77.4,77.4,2007-04-01,2019-12-01,2020-05-01 00:00:00,,4627,True
RUSSIA,RU -161 ,NOVOVORONEZH 2-1,PWR  ,VVER V-392M,3200,1180,1100,REA,AEM,75.7,77.7,2008-06-01,2016-08-01,2017-02-01 00:00:00,,2983,True
RUSSIA,RU -162 ,NOVOVORONEZH 2-2,PWR  ,VVER V-392M,3200,1181,1101,REA,AEM,82.1,83.9,2009-07-01,2019-05-01,2019-10-01 00:00:00,,3591,True
RUSSIA,RU -163 ,LENINGRAD 2-1,PWR  ,VVER V-491,3200,1188,1101,REA,AEM,74.3,75.0,2008-10-01,2018-03-01,2018-10-01 00:00:00,,3438,True
RUSSIA,RU -164 ,LENINGRAD 2-2,PWR  ,VVER V-491,3200,1188,1066,REA,AEM,0.0,0.0,2010-04-01,2020-10-01,2021-03-01 00:00:00,,3836,True
RUSSIA,RU -17  ,KURSK-1,LWGR ,RBMK-1000,3200,1000,925,REA,AEM,63.8,65.5,1972-06-01,1976-12-01,1977-10-01 00:00:00,,1644,True
RUSSIA,RU -20  ,NOVOVORONEZH-5,PWR  ,VVER V-187,3000,1000,950,REA,AEM,66.5,67.3,1974-03-01,1980-05-01,1981-02-01 00:00:00,,2253,True
RUSSIA,RU -21  ,BELOYARSK-3,FBR  ,BN-600,1470,600,560,REA,AEM,75.7,76.3,1969-01-01,1980-04-01,1981-11-01 00:00:00,,4108,True
RUSSIA,RU -22  ,KURSK-2,LWGR ,RBMK-1000,3200,1000,925,REA,AEM,64.0,65.9,1973-01-01,1979-01-01,1979-08-01 00:00:00,,2191,True
RUSSIA,RU -23  ,SMOLENSK-1,LWGR ,RBMK-1000,3200,1000,925,REA,AEM,73.9,75.6,1975-10-01,1982-12-01,1983-09-01 00:00:00,,2618,True
RUSSIA,RU -24  ,SMOLENSK-2,LWGR ,RBMK-1000,3200,1000,925,REA,AEM,75.7,77.6,1976-06-01,1985-05-01,1985-07-01 00:00:00,,3256,True
RUSSIA,RU -30  ,KALININ-1,PWR  ,VVER V-338,3000,1000,950,REA,AEM,74.1,74.8,1977-02-01,1984-05-01,1985-06-01 00:00:00,,2646,True
RUSSIA,RU -31  ,KALININ-2,PWR  ,VVER V-338,3000,1000,950,REA,AEM,77.1,79.1,1982-02-01,1986-12-01,1987-03-01 00:00:00,,1764,True
RUSSIA,RU -32  ,KOLA-3,PWR  ,VVER V-213,1375,440,411,REA,AEM,76.4,82.4,1977-04-01,1981-03-01,1982-12-01 00:00:00,,1430,True
RUSSIA,RU -33  ,KOLA-4,PWR  ,VVER V-213,1375,440,411,REA,AEM,76.5,82.3,1976-08-01,1984-10-01,1984-12-01 00:00:00,,2983,True
RUSSIA,RU -34  ,LENINGRAD-3,LWGR ,RBMK-1000,3200,1000,925,REA,AEM,73.4,74.3,1973-12-01,1979-12-01,1980-06-01 00:00:00,,2191,True
RUSSIA,RU -35  ,LENINGRAD-4,LWGR ,RBMK-1000,3200,1000,925,REA,AEM,74.9,75.8,1975-02-01,1981-02-01,1981-08-01 00:00:00,,2192,True
RUSSIA,RU -36  ,KALININ-3,PWR  ,VVER V-320,3200,1000,950,REA,AEM,84.3,84.4,1985-10-01,2004-12-01,2005-11-01 00:00:00,,7001,True
RUSSIA,RU -37  ,KALININ-4,PWR  ,VVER V-320,3200,1000,950,REA,AEM,87.3,87.3,1986-08-01,2011-11-01,2012-12-01 00:00:00,,9223,True
RUSSIA,RU -38  ,KURSK-3,LWGR ,RBMK-1000,3200,1000,925,REA,AEM,74.0,75.1,1978-04-01,1983-10-01,1984-03-01 00:00:00,,2009,True
RUSSIA,RU -39  ,KURSK-4,LWGR ,RBMK-1000,3200,1000,925,REA,AEM,77.5,78.5,1981-05-01,1985-12-01,1986-02-01 00:00:00,,1675,True
RUSSIA,RU -59  ,ROSTOV-1,PWR  ,VVER V-320,3200,1000,950,REA,AEM,88.1,88.4,1981-09-01,2001-03-01,2001-12-01 00:00:00,,7121,True
RUSSIA,RU -62  ,ROSTOV-2,PWR  ,VVER V-320,3200,1000,950,REA,AEM,89.3,89.6,1983-05-01,2010-03-01,2010-12-01 00:00:00,,9801,True
RUSSIA,RU -63  ,ROSTOV-3,PWR  ,VVER V-320,3000,1000,950,REA,AEM,84.0,85.2,2009-09-01,2014-12-01,2015-09-01 00:00:00,,1917,True
RUSSIA,RU -64  ,ROSTOV-4,PWR  ,VVER V-320,3000,1030,979,REA,AEM,91.9,93.6,2010-06-01,2018-02-01,2018-09-01 00:00:00,,2802,True
RUSSIA,RU -67  ,SMOLENSK-3,LWGR ,RBMK-1000,3200,1000,925,REA,AEM,78.9,80.5,1984-05-01,1990-01-01,1990-10-01 00:00:00,,2071,True
RUSSIA,RU -96  ,BALAKOVO-1,PWR  ,VVER V-320,3000,1000,950,REA,AEM,74.2,76.0,1980-12-01,1985-12-01,1986-05-01 00:00:00,,1826,True
RUSSIA,RU -97  ,BALAKOVO-2,PWR  ,VVER V-320,3000,1000,950,REA,AEM,73.6,76.0,1981-08-01,1987-10-01,1988-01-01 00:00:00,,2252,True
RUSSIA,RU -98  ,BALAKOVO-3,PWR  ,VVER V-320,3000,1000,950,REA,AEM,76.2,79.1,1982-11-01,1988-12-01,1989-04-01 00:00:00,,2222,True
RUSSIA,RU -99  ,BALAKOVO-4,PWR  ,VVER V-320,3200,1000,950,REA,AEM,80.5,83.7,1984-04-01,1993-04-01,1993-12-01 00:00:00,,3287,True
SLOVAKIA,SK -13  ,BOHUNICE-3,PWR  ,VVER V-213,1471,500,466,SE,ŠKODA ,81.4,84.7,1976-12-01,1984-08-01,1985-02-01 00:00:00,,2800,True
SLOVAKIA,SK -14  ,BOHUNICE-4,PWR  ,VVER V-213,1471,500,466,SE,ŠKODA ,82.4,85.5,1976-12-01,1985-08-01,1985-12-01 00:00:00,,3165,True
SLOVAKIA,SK -6   ,MOCHOVCE-1,PWR  ,VVER V-213,1471,470,436,SE,ŠKODA ,86.9,88.5,1983-10-01,1998-07-01,1998-10-01 00:00:00,,5387,True
SLOVAKIA,SK -7   ,MOCHOVCE-2,PWR  ,VVER V-213,1471,501,469,SE,ŠKODA ,87.1,88.4,1983-10-01,1999-12-01,2000-04-01 00:00:00,,5905,True
SLOVENIA,SI -1   ,KRSKO,PWR  ,WH 2LP,1994,727,688,NEK,WH,86.4,87.4,1975-03-01,1981-10-01,1983-01-01 00:00:00,,2406,True
SOUTH AFRICA,ZA -1   ,KOEBERG-1,PWR  ,CP1,2775,970,930,ESKOM,FRAM,74.0,77.3,1976-07-01,1984-04-01,1984-07-01 00:00:00,,2831,True
SOUTH AFRICA,ZA -2   ,KOEBERG-2,PWR  ,CP1,2775,970,930,ESKOM,FRAM,73.5,79.5,1976-07-01,1985-07-01,1985-11-01 00:00:00,,3287,True
SPAIN,ES -10  ,COFRENTES,BWR  ,BWR-6 (Mark 3),3237,1102,1064,ID,GE,87.4,88.4,1975-09-01,1984-10-01,1985-03-01 00:00:00,,3318,True
SPAIN,ES -11  ,TRILLO-1,PWR  ,PWR 3 loops,3010,1066,1003,CNAT,KWU,87.3,87.8,1979-08-01,1988-05-01,1988-08-01 00:00:00,,3196,True
SPAIN,ES -16  ,VANDELLOS-2,PWR  ,WH 3LP,2941,1087,1045,ANAV,WH,82.3,83.3,1980-12-01,1987-12-01,1988-03-01 00:00:00,,2556,True
SPAIN,ES -6   ,ALMARAZ-1,PWR  ,WH 3LP,2947,1049,1011,CNAT,WH,86.0,87.0,1973-07-01,1981-05-01,1983-09-01 00:00:00,,2861,True
SPAIN,ES -7   ,ALMARAZ-2,PWR  ,WH 3LP,2947,1044,1006,CNAT,WH,87.7,88.8,1973-07-01,1983-10-01,1984-07-01 00:00:00,,3744,True
SPAIN,ES -8   ,ASCO-1,PWR  ,WH 3LP,2941,1033,995,ANAV,WH,85.6,86.2,1974-05-01,1983-08-01,1984-12-01 00:00:00,,3379,True
SPAIN,ES -9   ,ASCO-2,PWR  ,WH 3LP,2941,1027,997,ANAV,WH,87.3,88.2,1975-03-01,1985-10-01,1986-03-01 00:00:00,,3867,True
SWEDEN,SE -10  ,RINGHALS-4,PWR  ,WH 3LP,3300,1171,1130,RAB,WH,83.1,85.4,1973-11-01,1982-06-01,1983-11-01 00:00:00,,3134,True
SWEDEN,SE -11  ,FORSMARK-2,BWR  ,"AA-III, BWR-25",3253,1157,1118,FKA,ABB ATOM,82.6,84.5,1975-01-01,1981-01-01,1981-07-01 00:00:00,,2192,True
SWEDEN,SE -12  ,OSKARSHAMN-3,BWR  ,"AA-IV, BWR-300",3900,1450,1400,OKG,ABB ATOM,80.8,82.0,1980-05-01,1985-03-01,1985-08-01 00:00:00,,1765,True
SWEDEN,SE -14  ,FORSMARK-3,BWR  ,"AA-IV, BWR-300",3300,1195,1172,FKA,ABB ATOM,85.4,87.5,1979-01-01,1985-03-01,1985-08-01 00:00:00,,2251,True
SWEDEN,SE -7   ,RINGHALS-3,PWR  ,WH 3LP,3135,1117,1072,RAB,WH,78.5,80.5,1972-09-01,1980-09-01,1981-09-01 00:00:00,,2922,True
SWEDEN,SE -9   ,FORSMARK-1,BWR  ,"AA-III, BWR-25",2927,1027,990,FKA,ABB ATOM,84.4,86.4,1973-06-01,1980-06-01,1980-12-01 00:00:00,,2557,True
SWITZERLAND,CH -1   ,BEZNAU-1,PWR  ,WH 2LP,1130,380,365,Axpo AG,WH,80.3,80.6,1965-09-01,1969-07-01,1969-12-01 00:00:00,,1399,True
SWITZERLAND,CH -3   ,BEZNAU-2,PWR  ,WH 2LP,1130,380,365,Axpo AG,WH,87.4,87.6,1968-01-01,1971-10-01,1972-03-01 00:00:00,,1369,True
SWITZERLAND,CH -4   ,GOESGEN,PWR  ,PWR 3 Loop,3002,1060,1010,KKG,KWU,89.0,89.8,1973-12-01,1979-02-01,1979-11-01 00:00:00,,1888,True
SWITZERLAND,CH -5   ,LEIBSTADT,BWR  ,BWR-6,3600,1275,1220,KKL,GETSCO,83.1,84.7,1974-01-01,1984-05-01,1984-12-01 00:00:00,,3773,True
UAE,AE -01  ,BARAKAH-1,PWR  ,APR-1400,3983,1400,1345,NAWAH,KEPCO,0.0,0.0,2012-07-01,2020-08-01,2021-04-01 00:00:00,,2953,True
UK,GB -16A ,HINKLEY POINT B-1,GCR  ,AGR,1494,655,485,EDF UK,TNPG,75.8,76.3,1967-09-01,1976-10-01,1978-10-01 00:00:00,,3318,True
UK,GB -16B ,HINKLEY POINT B-2,GCR  ,AGR,1494,655,480,EDF UK,TNPG,74.3,75.2,1967-09-01,1976-02-01,1976-09-01 00:00:00,,3075,True
UK,GB -17A ,HUNTERSTON B-1,GCR  ,AGR,1496,644,490,EDF UK,TNPG,69.4,69.7,1967-11-01,1976-02-01,1976-02-01 00:00:00,,3014,True
UK,GB -17B ,HUNTERSTON B-2,GCR  ,AGR,1496,644,495,EDF UK,TNPG,71.3,71.4,1967-11-01,1977-03-01,1977-03-01 00:00:00,,3408,True
