Country,Code,Name,Type,Model,Thermal,Gross,Net,Operator,Supplier,Start,Connection,Operation,Shutdown,EAF,UCF,NEA,Status
FRANCE,FR -41  ,CHINON B-2,PWR  ,CP2,2785,954,905,EDF,FRAM,1977-3 ,1983-11,1984-8 ,,76.4,78.4,-,Online
FRANCE,FR -42  ,CRUAS-1,PWR  ,CP2,2785,956,915,EDF,FRAM,1978-8 ,1983-4 ,1984-4 ,,76.2,78.7,-,Online
FRANCE,FR -43  ,CRUAS-2,PWR  ,CP2,2785,956,915,EDF,FRAM,1978-11,1984-9 ,1985-4 ,,77,80.2,-,Online
FRANCE,FR -44  ,CRUAS-3,PWR  ,CP2,2785,956,915,EDF,FRAM,1979-4 ,1984-5 ,1984-9 ,,77.1,80.6,-,Online
FRANCE,FR -45  ,CRUAS-4,PWR  ,CP2,2785,956,915,EDF,FRAM,1979-10,1984-10,1985-2 ,,75.7,78.6,-,Online
FRANCE,FR -46  ,FLAMANVILLE-1,PWR  ,P4 REP 1300,3817,1382,1330,EDF,FRAM,1979-12,1985-12,1986-12,,69.4,72.3,-,Online
FRANCE,FR -47  ,FLAMANVILLE-2,PWR  ,P4 REP 1300,3817,1382,1330,EDF,FRAM,1980-5 ,1986-7 ,1987-3 ,,73.7,75.6,-,Online
FRANCE,FR -48  ,ST. ALBAN-1,PWR  ,P4 REP 1300,3817,1381,1335,EDF,FRAM,1979-1 ,1985-8 ,1986-5 ,,75,77.3,-,Online
FRANCE,FR -49  ,ST. ALBAN-2,PWR  ,P4 REP 1300,3817,1381,1335,EDF,FRAM,1979-7 ,1986-7 ,1987-3 ,,75.6,78.4,-,Online
FRANCE,FR -50  ,CATTENOM-1,PWR  ,P4 REP 1300,3817,1362,1300,EDF,FRAM,1979-10,1986-11,1987-4 ,,73.1,74.9,-,Online
FRANCE,FR -51  ,GRAVELINES-5,PWR  ,CP1,2785,951,910,EDF,FRAM,1979-10,1984-8 ,1985-1 ,,76.4,78.1,-,Online
FRANCE,FR -52  ,GRAVELINES-6,PWR  ,CP1,2785,951,910,EDF,FRAM,1979-10,1985-8 ,1985-10,,78.3,79.9,-,Online
FRANCE,FR -53  ,CATTENOM-2,PWR  ,P4 REP 1300,3817,1362,1300,EDF,FRAM,1980-7 ,1987-9 ,1988-2 ,,76.8,79.1,-,Online
FRANCE,FR -54  ,BELLEVILLE-1,PWR  ,P4 REP 1300,3817,1363,1310,EDF,FRAM,1980-5 ,1987-10,1988-6 ,,75.8,77.4,-,Online
FRANCE,FR -55  ,BELLEVILLE-2,PWR  ,P4 REP 1300,3817,1363,1310,EDF,FRAM,1980-8 ,1988-7 ,1989-1 ,,77,78.9,-,Online
FRANCE,FR -56  ,CHINON B-3,PWR  ,CP2,2785,954,905,EDF,FRAM,1980-10,1986-10,1987-3 ,,77.6,79.3,-,Online
FRANCE,FR -57  ,CHINON B-4,PWR  ,CP2,2785,954,905,EDF,FRAM,1981-2 ,1987-11,1988-4 ,,78.7,80.7,-,Online
FRANCE,FR -58  ,NOGENT-1,PWR  ,P4 REP 1300,3817,1363,1310,EDF,FRAM,1981-5 ,1987-10,1988-2 ,,77.7,79.7,-,Online
FRANCE,FR -59  ,NOGENT-2,PWR  ,P4 REP 1300,3817,1363,1310,EDF,FRAM,1982-1 ,1988-12,1989-5 ,,80,82.3,-,Online
FRANCE,FR -60  ,CATTENOM-3,PWR  ,P4 REP 1300,3817,1362,1300,EDF,FRAM,1982-6 ,1990-7 ,1991-2 ,,77.9,80,-,Online
FRANCE,FR -61  ,GOLFECH-1,PWR  ,P4 REP 1300,3817,1363,1310,EDF,FRAM,1982-11,1990-6 ,1991-2 ,,82.9,85.8,-,Online
FRANCE,FR -62  ,CHOOZ B-1,PWR  ,N4 REP 1450,4270,1560,1500,EDF,FRAM,1984-1 ,1996-8 ,2000-5 ,,77.6,81,-,Online
FRANCE,FR -63  ,PENLY-1,PWR  ,P4 REP 1300,3817,1382,1330,EDF,FRAM,1982-9 ,1990-5 ,1990-12,,80.4,81.8,-,Online
FRANCE,FR -64  ,PENLY-2,PWR  ,P4 REP 1300,3817,1382,1330,EDF,FRAM,1984-8 ,1992-2 ,1992-11,,82.4,83.7,-,Online
FRANCE,FR -65  ,CATTENOM-4,PWR  ,P4 REP 1300,3817,1362,1300,EDF,FRAM,1983-9 ,1991-5 ,1992-1 ,,81.8,84.2,-,Online
FRANCE,FR -68  ,GOLFECH-2,PWR  ,P4 REP 1300,3817,1363,1310,EDF,FRAM,1984-10,1993-6 ,1994-3 ,,82.2,83.8,-,Online
FRANCE,FR -70  ,CHOOZ B-2,PWR  ,N4 REP 1450,4270,1560,1500,EDF,FRAM,1985-12,1997-4 ,2000-9 ,,75.9,83.2,-,Online
FRANCE,FR -72  ,CIVAUX-1,PWR  ,N4 REP 1450,4270,1561,1495,EDF,FRAM,1988-10,1997-12,2002-1 ,,75.2,78,-,Online
FRANCE,FR -73  ,CIVAUX-2,PWR  ,N4 REP 1450,4270,1561,1495,EDF,FRAM,1991-4 ,1999-12,2002-4 ,,76.1,80.9,-,Online
GERMANY,DE -31  ,ISAR-2,PWR  ,Konvoi,3950,1485,1410,PElektra,KWU,1982-9 ,1988-1 ,1988-4 ,,92.4,92.7,-,Online
GERMANY,DE -33  ,EMSLAND,PWR  ,Konvoi,3850,1406,1335,KLE,KWU,1982-8 ,1988-4 ,1988-6 ,,93.3,93.5,-,Online
GERMANY,DE -44  ,NECKARWESTHEIM-2,PWR  ,Konvoi,3850,1400,1310,EnKK,KWU,1982-11,1989-1 ,1989-4 ,,92.3,92.6,-,Online
HUNGARY,HU -1   ,PAKS-1,PWR  ,VVER V-213,1485,509,479,PAKS Zrt,AEE,1974-8 ,1982-12,1983-8 ,,86.8,87,-,Online
HUNGARY,HU -2   ,PAKS-2,PWR  ,VVER V-213,1485,506,479,PAKS Zrt,AEE,1974-8 ,1984-9 ,1984-11,,82.7,82.9,DH,Online
HUNGARY,HU -3   ,PAKS-3,PWR  ,VVER V-213,1485,506,479,PAKS Zrt,AEE,1979-10,1986-9 ,1986-12,,87.5,87.9,DH,Online
HUNGARY,HU -4   ,PAKS-4,PWR  ,VVER V-213,1485,506,479,PAKS Zrt,AEE,1979-10,1987-8 ,1987-11,,88.3,88.7,DH,Online
INDIA,IN -1   ,TARAPUR-1,BWR  ,BWR-1 (Mark 2),530,160,150,NPCIL,GE,1964-10,1969-4 ,1969-10,,65,65.8,-,Online
INDIA,IN -10  ,KAKRAPAR-2,PHWR ,Horizontal Pre,801,220,202,NPCIL,NPCIL,1985-4 ,1995-3 ,1995-9 ,,70.3,79,-,Online
INDIA,IN -11  ,RAJASTHAN-3,PHWR ,Horizontal Pre,801,220,202,NPCIL,NPCIL,1990-2 ,2000-3 ,2000-6 ,,80.5,90.4,PH,Online
INDIA,IN -12  ,RAJASTHAN-4,PHWR ,Horizontal Pre,801,220,202,NPCIL,NPCIL,1990-10,2000-11,2000-12,,82.6,92.1,PH,Online
INDIA,IN -13  ,KAIGA-1,PHWR ,Horizontal Pre,801,220,202,NPCIL,NPCIL,1989-9 ,2000-10,2000-11,,77.5,91.8,-,Online
INDIA,IN -14  ,KAIGA-2,PHWR ,Horizontal Pre,801,220,202,NPCIL,NPCIL,1989-12,1999-12,2000-3 ,,76.7,90.7,-,Online
INDIA,IN -15  ,KAIGA-3,PHWR ,Horizontal Pre,800,220,202,NPCIL,NPCIL,2002-3 ,2007-4 ,2007-5 ,,72.3,83.9,-,Online
INDIA,IN -16  ,KAIGA-4,PHWR ,Horizontal Pre,800,220,202,NPCIL,NPCIL,2002-5 ,2011-1 ,2011-1 ,,86.1,91.7,-,Online
INDIA,IN -19  ,RAJASTHAN-5,PHWR ,Horizontal Pre,801,220,202,NPCIL,NPCIL,2002-9 ,2009-12,2010-2 ,,90.3,90.5,-,Online
INDIA,IN -2   ,TARAPUR-2,BWR  ,BWR-1 (Mark 2),530,160,150,NPCIL,GE,1964-10,1969-5 ,1969-10,,65.8,66.5,-,Online
INDIA,IN -20  ,RAJASTHAN-6,PHWR ,Horizontal Pre,801,220,202,NPCIL,NPCIL,2003-1 ,2010-3 ,2010-3 ,,80.3,80.6,-,Online
INDIA,IN -23  ,TARAPUR-3,PHWR ,Horizontal Pre,1730,540,490,NPCIL,NPCIL,2000-5 ,2006-6 ,2006-8 ,,79.4,88.8,-,Online
INDIA,IN -24  ,TARAPUR-4,PHWR ,Horizontal Pre,1730,540,490,NPCIL,NPCIL,2000-3 ,2005-6 ,2005-9 ,,71.9,84.4,-,Online
INDIA,IN -25  ,KUDANKULAM-1,PWR  ,VVER V-412,3000,1000,932,NPCIL,MAEP,2002-3 ,2013-10,2014-12,,57.1,58.5,-,Online
INDIA,IN -26  ,KUDANKULAM-2,PWR  ,VVER V-412,3000,1000,932,NPCIL,MAEP,2002-7 ,2016-8 ,2017-3 ,,55.7,55.7,-,Online
INDIA,IN -30  ,KAKRAPAR-3,PHWR ,PHWR-700,2166,700,630,NPCIL,NPCIL,2010-11,2021-1 ,,,0,0,-,Online
INDIA,IN -4   ,RAJASTHAN-2,PHWR ,Horizontal Pre,693,200,187,NPCIL,AECL/DAE,1968-4 ,1980-11,1981-4 ,,59.3,62.8,PH,Online
INDIA,IN -5   ,MADRAS-1,PHWR ,Horizontal Pre,801,220,205,NPCIL,NPCIL,1971-1 ,1983-7 ,1984-1 ,,51.4,60.3,DS,Online
INDIA,IN -6   ,MADRAS-2,PHWR ,Horizontal Pre,801,220,205,NPCIL,NPCIL,1972-10,1985-9 ,1986-3 ,,62.5,73.6,DS,Online
INDIA,IN -7   ,NARORA-1,PHWR ,Horizontal Pre,801,220,202,NPCIL,NPCIL,1976-12,1989-7 ,1991-1 ,,63.3,74.1,-,Online
INDIA,IN -8   ,NARORA-2,PHWR ,Horizontal Pre,801,220,202,NPCIL,NPCIL,1977-11,1992-1 ,1992-7 ,,65.1,75.2,-,Online
INDIA,IN -9   ,KAKRAPAR-1,PHWR ,Horizontal Pre,801,220,202,NPCIL,NPCIL,1984-12,1992-11,1993-5 ,,62.2,67.1,-,Online
"IRAN,ISL.REP",IR -1   ,BUSHEHR-1,PWR  ,VVER V-446,3000,1000,915,NPPDCO,JSC ASE,1975-5 ,2011-9 ,2013-9 ,,71.4,71.9,-,Online
JAPAN,JP -13  ,TAKAHAMA-2,PWR  ,M (3-loop),2440,826,780,KEPCO,MHI,1971-3 ,1975-1 ,1975-11,,53.7,53.8,-,Online
JAPAN,JP -14  ,MIHAMA-3,PWR  ,M (3-loop),2440,826,780,KEPCO,MHI,1972-8 ,1976-2 ,1976-12,,54.9,54.9,-,Online
JAPAN,JP -21  ,TOKAI-2,BWR  ,BWR-5,3293,1100,1060,JAPCO,GE,1973-10,1978-3 ,1978-11,,54.4,54.9,-,Online
JAPAN,JP -28  ,SENDAI-1,PWR  ,M (3-loop),2660,890,846,KYUSHU,MHI,1979-12,1983-9 ,1984-7 ,,71.4,71.4,-,Online
JAPAN,JP -29  ,TAKAHAMA-3,PWR  ,M (3-loop),2660,870,830,KEPCO,MHI,1980-12,1984-5 ,1985-1 ,,71,71.1,DS,Online
JAPAN,JP -30  ,TAKAHAMA-4,PWR  ,M (3-loop),2660,870,830,KEPCO,MHI,1981-3 ,1984-11,1985-6 ,,72.1,72.1,DS,Online
JAPAN,JP -33  ,KASHIWAZAKI KARIWA-1,BWR  ,BWR-5,3293,1100,1067,TEPCO,TOSHIBA,1980-6 ,1985-2 ,1985-9 ,,47,47.8,-,Online
JAPAN,JP -34  ,TSURUGA-2,PWR  ,M (4-loop),3411,1160,1108,JAPCO,MHI,1982-11,1986-6 ,1987-2 ,,54,54.1,-,Online
JAPAN,JP -36  ,HAMAOKA-3,BWR  ,BWR-5,3293,1100,1056,CHUBU,TOSHIBA,1983-4 ,1987-1 ,1987-8 ,,53.1,53.2,-,Online
JAPAN,JP -37  ,SENDAI-2,PWR  ,M (3-loop),2660,890,846,KYUSHU,MHI,1981-10,1985-4 ,1985-11,,73.1,73.1,-,Online
JAPAN,JP -39  ,KASHIWAZAKI KARIWA-2,BWR  ,BWR-5,3293,1100,1067,TEPCO,TOSHIBA,1985-11,1990-2 ,1990-9 ,,40.3,40.3,-,Online
JAPAN,JP -40  ,KASHIWAZAKI KARIWA-5,BWR  ,BWR-5,3293,1100,1067,TEPCO,HITACHI,1985-6 ,1989-9 ,1990-4 ,,45.8,47.4,-,Online
JAPAN,JP -41  ,SHIMANE-2,BWR  ,BWR-5,2436,820,789,CHUGOKU,HITACHI,1985-2 ,1988-7 ,1989-2 ,,56.1,56.1,-,Online
JAPAN,JP -43  ,TOMARI-1,PWR  ,M (2-loop),1650,579,550,HEPCO,MHI,1985-4 ,1988-12,1989-6 ,,57,57,-,Online
JAPAN,JP -44  ,TOMARI-2,PWR  ,M (2-loop),1650,579,550,HEPCO,MHI,1985-6 ,1990-8 ,1991-4 ,,55.1,55.1,-,Online
JAPAN,JP -45  ,GENKAI-3,PWR  ,M (4-loop),3423,1180,1127,KYUSHU,MHI,1988-6 ,1993-6 ,1994-3 ,,63.3,63.3,DS,Online
JAPAN,JP -46  ,GENKAI-4,PWR  ,M (4-loop),3423,1180,1127,KYUSHU,MHI,1992-7 ,1996-11,1997-7 ,,63.2,63.2,DS,Online
JAPAN,JP -47  ,IKATA-3,PWR  ,M (3-loop),2660,890,846,SHIKOKU,MHI,1990-10,1994-3 ,1994-12,,64.1,64.1,DS,Online
JAPAN,JP -48  ,SHIKA-1,BWR  ,BWR-5,1593,540,505,HOKURIKU,HITACHI,1989-7 ,1993-1 ,1993-7 ,,44.1,44.1,-,Online
JAPAN,JP -49  ,HAMAOKA-4,BWR  ,BWR-5,3293,1137,1092,CHUBU,TOSHIBA,1989-10,1993-1 ,1993-9 ,,49.8,50.3,-,Online
JAPAN,JP -50  ,OHI-3,PWR  ,M (4-loop),3423,1180,1127,KEPCO,MHI,1987-10,1991-6 ,1991-12,,64.5,64.6,DS,Online
JAPAN,JP -51  ,OHI-4,PWR  ,M (4-loop),3423,1180,1127,KEPCO,MHI,1988-6 ,1992-6 ,1993-2 ,,69.5,69.5,DS,Online
JAPAN,JP -52  ,KASHIWAZAKI KARIWA-3,BWR  ,BWR-5,3293,1100,1067,TEPCO,TOSHIBA,1989-3 ,1992-12,1993-8 ,,37,37.7,-,Online
JAPAN,JP -53  ,KASHIWAZAKI KARIWA-4,BWR  ,BWR-5,3293,1100,1067,TEPCO,HITACHI,1990-3 ,1993-12,1994-8 ,,35.3,37,-,Online
JAPAN,JP -54  ,ONAGAWA-2,BWR  ,BWR-5,2436,825,796,TOHOKU,TOSHIBA,1991-4 ,1994-12,1995-7 ,,43.5,46.8,-,Online
JAPAN,JP -55  ,KASHIWAZAKI KARIWA-6,BWR  ,ABWR,3926,1356,1315,TEPCO,TOSHIBA,1992-11,1996-1 ,1996-11,,44.3,45.9,-,Online
JAPAN,JP -56  ,KASHIWAZAKI KARIWA-7,BWR  ,ABWR,3926,1356,1315,TEPCO,HITACHI,1993-7 ,1996-12,1997-7 ,,40,41.5,-,Online
JAPAN,JP -57  ,ONAGAWA-3,BWR  ,BWR-5,2436,825,796,TOHOKU,TOSHIBA,1998-1 ,2001-5 ,2002-1 ,,30.7,33.9,-,Online
JAPAN,JP -58  ,HIGASHI DORI-1 (TOHOKU),BWR  ,BWR-5,3293,1100,1067,TOHOKU,TOSHIBA,2000-11,2005-3 ,2005-12,,26.6,26.6,-,Online
JAPAN,JP -59  ,SHIKA-2,BWR  ,ABWR,3926,1206,1108,HOKURIKU,HITACHI,2001-8 ,2005-7 ,2006-3 ,,16.3,16.3,-,Online
JAPAN,JP -60  ,HAMAOKA-5,BWR  ,ABWR,3926,1380,1325,CHUBU,TOSHIBA,2000-7 ,2004-4 ,2005-1 ,,17.3,20.6,-,Online
JAPAN,JP -64  ,TOMARI-3,PWR  ,M (3-loop),2660,912,866,HEPCO,MHI,2004-11,2009-3 ,2009-12,,18.1,18.1,-,Online
JAPAN,JP -8   ,TAKAHAMA-1,PWR  ,M (3-loop),2440,826,780,KEPCO,WH/MHI,1970-4 ,1974-3 ,1974-11,,53.3,53.3,-,Online
"KOREA,REP.OF",KR -10  ,HANUL-2,PWR  ,France CPI,2775,1010,967,KHNP,FRAM,1983-7 ,1989-4 ,1989-9 ,,86.4,86.7,-,Online
"KOREA,REP.OF",KR -11  ,HANBIT-3,PWR  ,OPR-1000,2825,1041,986,KHNP,DHICKAEC,1989-12,1994-10,1995-3 ,,78.4,78.5,-,Online
"KOREA,REP.OF",KR -12  ,HANBIT-4,PWR  ,OPR-1000,2825,1022,970,KHNP,DHICKAEC,1990-5 ,1995-7 ,1996-1 ,,72.8,73,-,Online
"KOREA,REP.OF",KR -13  ,HANUL-3,PWR  ,OPR-1000,2825,1051,997,KHNP,DHICKOPC,1993-7 ,1998-1 ,1998-8 ,,85,85.2,-,Online
"KOREA,REP.OF",KR -14  ,HANUL-4,PWR  ,OPR-1000,2825,1053,999,KHNP,DHICKOPC,1993-11,1998-12,1999-12,,80.3,80.4,-,Online
"KOREA,REP.OF",KR -15  ,WOLSONG-3,PHWR ,CANDU 6,2061,628,607,KHNP,AECL/DHI,1994-3 ,1998-3 ,1998-7 ,,85.3,86.7,-,Online
"KOREA,REP.OF",KR -16  ,WOLSONG-4,PHWR ,CANDU 6,2061,595,575,KHNP,AECL/DHI,1994-7 ,1999-5 ,1999-10,,90.3,91.1,-,Online
"KOREA,REP.OF",KR -17  ,HANBIT-5,PWR  ,OPR-1000,2825,1050,992,KHNP,DHICKOPC,1997-6 ,2001-12,2002-5 ,,80.6,80.8,-,Online
"KOREA,REP.OF",KR -18  ,HANBIT-6,PWR  ,OPR-1000,2825,1053,993,KHNP,DHICKOPC,1997-11,2002-9 ,2002-12,,85.4,85.7,-,Online
"KOREA,REP.OF",KR -19  ,HANUL-5,PWR  ,OPR-1000,2825,1049,998,KHNP,DHICKOPC,1999-10,2003-12,2004-7 ,,89,89.2,-,Online
"KOREA,REP.OF",KR -2   ,KORI-2,PWR  ,WH F,1882,681,640,KHNP,WH,1977-12,1983-4 ,1983-7 ,,84.5,84.8,-,Online
"KOREA,REP.OF",KR -20  ,HANUL-6,PWR  ,OPR-1000,2825,1050,997,KHNP,DHICKOPC,2000-9 ,2005-1 ,2005-4 ,,89,89.1,-,Online
"KOREA,REP.OF",KR -21  ,SHIN-KORI-1,PWR  ,OPR-1000,2825,1046,996,KHNP,DHICKOPC,2006-6 ,2010-8 ,2011-2 ,,74.2,75.3,-,Online
"KOREA,REP.OF",KR -22  ,SHIN-KORI-2,PWR  ,OPR-1000,2825,1047,996,KHNP,DHICKOPC,2007-6 ,2012-1 ,2012-7 ,,81.9,83.1,-,Online
"KOREA,REP.OF",KR -23  ,SHIN-WOLSONG-1,PWR  ,OPR-1000,2825,1048,997,KHNP,DHICKOPC,2007-11,2012-1 ,2012-7 ,,81.8,82.1,-,Online
"KOREA,REP.OF",KR -24  ,SHIN-WOLSONG-2,PWR  ,OPR-1000,2825,1050,993,KHNP,DHICKOPC,2008-9 ,2015-2 ,2015-7 ,,83.3,83.5,-,Online
"KOREA,REP.OF",KR -25  ,SHIN-KORI-3,PWR  ,APR-1400,3983,1488,1416,KHNP,DHICKOPC,2008-10,2016-1 ,2016-12,,76.2,76.3,-,Online
"KOREA,REP.OF",KR -26  ,SHIN-KORI-4,PWR  ,APR-1400,3983,1493,1418,KHNP,DHICKOPC,2009-8 ,2019-4 ,2019-8 ,,79.2,79.3,-,Online
"KOREA,REP.OF",KR -4   ,WOLSONG-2,PHWR ,CANDU 6,2061,592,582,KHNP,AECL/DHI,1992-9 ,1997-4 ,1997-7 ,,89.5,90.7,-,Online
"KOREA,REP.OF",KR -5   ,KORI-3,PWR  ,WH F,2912,1046,1011,KHNP,WH,1979-10,1985-1 ,1985-9 ,,82.2,82.5,-,Online
"KOREA,REP.OF",KR -6   ,KORI-4,PWR  ,WH F,2912,1046,1012,KHNP,WH,1980-4 ,1985-12,1986-4 ,,83.6,84,-,Online
"KOREA,REP.OF",KR -7   ,HANBIT-1,PWR  ,WH F,2787,1025,995,KHNP,WH,1981-6 ,1986-3 ,1986-8 ,,84.2,84.4,-,Online
"KOREA,REP.OF",KR -8   ,HANBIT-2,PWR  ,WH F,2787,1025,988,KHNP,WH,1981-12,1986-11,1987-6 ,,83.4,83.6,-,Online
"KOREA,REP.OF",KR -9   ,HANUL-1,PWR  ,France CPI,2775,1013,966,KHNP,FRAM,1983-1 ,1988-4 ,1988-9 ,,85.6,86,-,Online
MEXICO,MX -1   ,LAGUNA VERDE-1,BWR  ,BWR-5,2317,805,777,CFE,GE,1976-9 ,1989-4 ,1990-7 ,,80.4,81.7,-,Online
MEXICO,MX -2   ,LAGUNA VERDE-2,BWR  ,BWR-5,2317,803,775,CFE,GE,1977-6 ,1994-11,1995-4 ,,82.9,83.9,-,Online
NETHERLANDS,NL -2   ,BORSSELE,PWR  ,KWU 2LP,1366,515,482,EPZ,S/KWU,1969-7 ,1973-7 ,1973-10,,84.9,85.3,-,Online
PAKISTAN,PK -2   ,CHASNUPP-1,PWR  ,CNP-300,999,325,300,PAEC,CNNC,1993-8 ,2000-6 ,2000-9 ,,78,78.4,-,Online
PAKISTAN,PK -3   ,CHASNUPP-2,PWR  ,CNP-300,999,325,300,PAEC,CNNC,2005-12,2011-3 ,2011-5 ,,86.3,86.5,-,Online
PAKISTAN,PK -4   ,CHASNUPP-3,PWR  ,CNP-300,999,340,315,PAEC,CNNC,2011-5 ,2016-10,2016-12,,89.6,90.3,-,Online
PAKISTAN,PK -5   ,CHASNUPP-4,PWR  ,CNP-300,999,340,313,PAEC,CNNC,2011-12,2017-6 ,2017-9 ,,88.5,89.1,-,Online
